,Question,Numbers,Equation,Answer,group_nums,Body,Ques_Statement
10,Mandy made an apple pie . She used number0 tablespoon of cinnamon and number1 tablespoon of nutmeg . How much more cinnamon than nutmeg did Mandy use ?,0.6666666666666666 0.5,- number0 number1,0.1666666666666666,"[7, 8, 9, 12, 13, 14, 24, 25, 26]",Mandy made an apple pie . She used number0 tablespoon of cinnamon and number1 tablespoon of nutmeg .,How much more cinnamon than nutmeg did Mandy use ?
11,"Bridget has number0 Skittles . Henry has number1 Skittles . If Henry gives all of his Skittles to Bridget , how many Skittles will Bridget have ?",4.0 4.0,+ number0 number0,8.0,"[1, 2, 3, 6, 7, 8, 23, 24, 25]","Bridget has number0 Skittles . Henry has number1 Skittles . If Henry gives all of his Skittles to Bridget ,",how many Skittles will Bridget have ?
12,"A textbook costs a bookstore number0 dollars , and the store sells it for number1 dollars . Find the amount of profit based on the selling price .",44.0 55.0,- number1 number0,11.0,"[4, 5, 6, 13, 14, 15, 24, 25, 26]","A textbook costs a bookstore number0 dollars , and the store sells it for number1 dollars .",Find the amount of profit based on the selling price .
13,"Each child has number0 bottle caps . If there are number1 children , how many bottle caps are there in total ?",5.0 9.0,* number0 number1,45.0,"[2, 3, 4, 9, 10, 11, 18, 19, 20]","Each child has number0 bottle caps . If there are number1 children ,",how many bottle caps are there in total ?
14,"While playing a trivia game , Mike answered number0 questions correct in the first half and number1 questions correct in the second half . If each question was worth number2 points , what was his final score ?",3.0 5.0 3.0,* number0 + number0 number1,24.0,"[7, 8, 9, 15, 16, 17, 28, 29, 30, 34, 35, 36]","While playing a trivia game , Mike answered number0 questions correct in the first half and number1 questions correct in the second half . If each question was worth number2 points ,",what was his final score ?
15,"At Mrs. Hilt 's house , there was number0 inches of snow , and Brecknock Elementary School received number1 inches of snow . How much more snow did Mrs. Hilt 's house have ?",29.0 17.0,- number0 number1,12.0,"[7, 8, 9, 17, 18, 19, 32, 33, 34]","At Mrs. Hilt 's house , there was number0 inches of snow , and Brecknock Elementary School received number1 inches of snow .",How much more snow did Mrs. Hilt 's house have ?
16,At a company picnic number0 managers and number1 employees decided to start a game of volleyball . If they split into number2 teams how many people would be on each team ?,9.0 15.0 8.0,/ + number0 number1 number2,3.0,"[3, 4, 5, 6, 7, 8, 20, 21, 22, 28, 29, 30]",At a company picnic number0 managers and number1 employees decided to start a game of volleyball . If they split into number2 teams,how many people would be on each team ?
17,"There were number0 friends playing a video game online when number1 more players joined the game . If each player had number2 lives , how many lives did they have total ?",7.0 2.0 7.0,* number0 + number0 number1,63.0,"[1, 2, 3, 9, 10, 11, 20, 21, 22, 28, 29, 30]","There were number0 friends playing a video game online when number1 more players joined the game . If each player had number2 lives ,",how many lives did they have total ?
18,Anna starts with number0 candies . She gets number1 more from Larry . How many candies does Anna end with ?,5.0 86.0,+ number0 number1,91.0,"[2, 3, 4, 7, 8, 9, 17, 18, 19]",Anna starts with number0 candies . She gets number1 more from Larry .,How many candies does Anna end with ?
19,"A worksheet had number0 problems on it . If a teacher had number1 worksheets to grade and had already graded number2 of them , how many more problems does she have to grade ?",4.0 9.0 5.0,* number0 - number1 number2,16.0,"[2, 3, 4, 11, 12, 13, 19, 20, 21, 30, 31, 32]","A worksheet had number0 problems on it . If a teacher had number1 worksheets to grade and had already graded number2 of them ,",how many more problems does she have to grade ?
20,Mrs. Hilt saw number0 bees in the hive . The next day she saw number1 times that many . How many bees did she see on the second day ?,144.0 3.0,* number0 number1,432.0,"[2, 3, 4, 13, 14, 15, 26, 27, 28]",Mrs. Hilt saw number0 bees in the hive . The next day she saw number1 times that many .,How many bees did she see on the second day ?
21,"Fred has number0 red balloons , Sam has number1 red balloons , and Dan has number2 red balloons . The balloons cost number3 dollars . How many red balloons do they have in all ?",10.0 46.0 16.0 10.0,+ + number0 number1 number2,72.0,"[1, 2, 3, 7, 8, 9, 14, 15, 16, 21, 22, 23, 31, 32, 33]","Fred has number0 red balloons , Sam has number1 red balloons , and Dan has number2 red balloons . The balloons cost number3 dollars .",How many red balloons do they have in all ?
22,Evelyn starts with number0 Skittles . She shares number1 with Christine . How many Skittles does Evelyn end with ?,76.0 72.0,- number0 number1,4.0,"[2, 3, 4, 7, 8, 9, 16, 17, 18]",Evelyn starts with number0 Skittles . She shares number1 with Christine .,How many Skittles does Evelyn end with ?
23,A carpenter bought a piece of wood that was number0 centimeters long . Then he sawed number1 centimeters off the end . How long is the piece of wood now ?,8.9 2.3,- number0 number1,6.6,"[8, 9, 10, 15, 16, 17, 27, 28, 29]",A carpenter bought a piece of wood that was number0 centimeters long . Then he sawed number1 centimeters off the end .,How long is the piece of wood now ?
24,A store had number0 oranges in a bin . If they threw away number1 of the old ones and put number2 new ones in the bin how many would be in the bin ?,34.0 20.0 13.0,- + number0 number2 number1,27.0,"[2, 3, 4, 12, 13, 14, 19, 20, 21, 30, 31, 32]",A store had number0 oranges in a bin . If they threw away number1 of the old ones and put number2 new ones in the bin,how many would be in the bin ?
25,Tim has number0 books . Mike has number1 books . How many books do they have together ?,22.0 20.0,+ number0 number1,42.0,"[1, 2, 3, 6, 7, 8, 16, 17, 18]",Tim has number0 books . Mike has number1 books .,How many books do they have together ?
26,Melanie had number0 dimes in her bank . Her dad gave her number1 dimes and her mother gave her number2 dimes . How many dimes does Melanie have now ?,7.0 8.0 4.0,+ + number0 number1 number2,19.0,"[1, 2, 3, 11, 12, 13, 18, 19, 20, 26, 27, 28]",Melanie had number0 dimes in her bank . Her dad gave her number1 dimes and her mother gave her number2 dimes .,How many dimes does Melanie have now ?
27,A car traveled number0 kilometers in number1 hours . What was its average speed ?,715.0 11.0,/ number0 number1,65.0,"[2, 3, 4, 5, 6, 7, 11, 12, 13]",A car traveled number0 kilometers in number1 hours .,What was its average speed ?
28,There are number0 dogwood trees currently in the park . Park workers will plant number1 dogwood trees today and number2 dogwood trees tomorrow . How many dogwood trees will the park have when the workers are finished ?,7.0 3.0 2.0,+ + number0 number1 number2,12.0,"[1, 2, 3, 13, 14, 15, 18, 19, 20, 34, 35, 36]",There are number0 dogwood trees currently in the park . Park workers will plant number1 dogwood trees today and number2 dogwood trees tomorrow .,How many dogwood trees will the park have when the workers are finished ?
29,There are number0 bottle caps in each box . How many bottle caps are in number1 boxes ?,9.0 6.0,* number0 number1,54.0,"[1, 2, 3, 14, 15, 16, 14, 15, 16]",There are number0 bottle caps in each box .,How many bottle caps are in number1 boxes ?
30,"Gwen was organizing her book case making sure each of the shelves had exactly number0 books on it . If she had number1 shelves of mystery books and number2 shelves of picture books , how many books did she have total ?",9.0 3.0 5.0,* number0 + number1 number2,72.0,"[13, 14, 15, 21, 22, 23, 27, 28, 29, 38, 39, 40]","Gwen was organizing her book case making sure each of the shelves had exactly number0 books on it . If she had number1 shelves of mystery books and number2 shelves of picture books ,",how many books did she have total ?
31,"Megan was organizing her book case making sure each of the shelves had exactly number0 books on it . If she had number1 shelves of mystery books and number2 shelves of picture books , how many books did she have total ?",7.0 8.0 2.0,* number0 + number1 number2,70.0,"[13, 14, 15, 21, 22, 23, 27, 28, 29, 38, 39, 40]","Megan was organizing her book case making sure each of the shelves had exactly number0 books on it . If she had number1 shelves of mystery books and number2 shelves of picture books ,",how many books did she have total ?
32,"Karen added number0 cup of walnuts to a batch of trail mix . Later , she added number1 cup of almonds . How many cups of nuts did Karen put in the trail mix in all ?",0.25 0.25,+ number0 number0,0.5,"[1, 2, 3, 16, 17, 18, 33, 34, 35]","Karen added number0 cup of walnuts to a batch of trail mix . Later , she added number1 cup of almonds .",How many cups of nuts did Karen put in the trail mix in all ?
33,There are number0 scissors and number1 pencils in the drawer . Dan placed number2 scissors in the drawer . How many scissors are now there in total ?,39.0 22.0 13.0,+ number0 number2,52.0,"[1, 2, 3, 4, 5, 6, 12, 13, 14, 24, 25, 26]",There are number0 scissors and number1 pencils in the drawer . Dan placed number2 scissors in the drawer .,How many scissors are now there in total ?
34,Sara goes fishing with Melanie . Sara catches number0 trout . Melanie catches number1 times as many trout as Sara . How many trout did Melanie catch ?,5.0 2.0,* number0 number1,10.0,"[7, 8, 9, 12, 13, 14, 24, 25, 26]",Sara goes fishing with Melanie . Sara catches number0 trout . Melanie catches number1 times as many trout as Sara .,How many trout did Melanie catch ?
35,Cade had number0 marbles . He gave number1 to Dylan . How many does he have left ?,87.0 8.0,- number0 number1,79.0,"[1, 2, 3, 6, 7, 8, 14, 15, 16]",Cade had number0 marbles . He gave number1 to Dylan .,How many does he have left ?
36,"Karin 's science class weighed plastic rings for an experiment . They found that the orange ring weighed number0 ounce , the purple ring weighed number1 ounce , and the white ring weighed number2 ounce . What was the total weight of the plastic rings ?",0.08333333333333333 0.3333333333333333 0.4166666666666667,+ + number0 number1 number2,0.8333333333333334,"[17, 18, 19, 24, 25, 26, 32, 33, 34, 42, 43, 44]","Karin 's science class weighed plastic rings for an experiment . They found that the orange ring weighed number0 ounce , the purple ring weighed number1 ounce , and the white ring weighed number2 ounce .",What was the total weight of the plastic rings ?
37,A group of number0 friends went into a restaurant . The chef already had number1 chicken wings cooked but cooked number2 more for the group . If they each got the same amount how many would each person get ?,3.0 8.0 10.0,/ + number1 number2 number0,6.0,"[2, 3, 4, 13, 14, 15, 19, 20, 21, 36, 37, 38]",A group of number0 friends went into a restaurant . The chef already had number1 chicken wings cooked but cooked number2 more for the group . If they each got the same amount,how many would each person get ?
38,Lucy has number0 fish . How many more fish does she need to buy to have number1 fish ?,212.0 280.0,- number1 number0,68.0,"[1, 2, 3, 15, 16, 17, 15, 16, 17]",Lucy has number0 fish .,How many more fish does she need to buy to have number1 fish ?
39,There are number0 bananas in a pile on the desk . Each banana comes in a package of number1 . number2 bananas are added to the pile . How many bananas are there in the pile ?,2.0 13.0 7.0,+ number0 number2,9.0,"[1, 2, 3, 17, 18, 19, 19, 20, 21, 33, 34, 35]",There are number0 bananas in a pile on the desk . Each banana comes in a package of number1 . number2 bananas are added to the pile .,How many bananas are there in the pile ?
40,"Terrell hiked number0 miles on Saturday . Then , on Sunday , he hiked another number1 miles . How far did Terrell hike all together ?",8.2 1.6,+ number0 number1,9.8,"[1, 2, 3, 14, 15, 16, 22, 23, 24]","Terrell hiked number0 miles on Saturday . Then , on Sunday , he hiked another number1 miles .",How far did Terrell hike all together ?
41,"Allyson plays for the cook county regional football league which has number0 teams . During a season , each team plays the other team number1 twice , once at home and one away . How many total games are played in one season ?",10.0 2.0,/ * * number0 - number0 1.0 number1 number1,90.0,"[10, 11, 12, 23, 24, 25, 40, 41, 42]","Allyson plays for the cook county regional football league which has number0 teams . During a season , each team plays the other team number1 twice , once at home and one away .",How many total games are played in one season ?
42,Larry starts with number0 cards . number1 are eaten by a hippopotamus . How many cards does Larry end with ?,91.0 17.0,- number0 number1,74.0,"[2, 3, 4, 5, 6, 7, 17, 18, 19]",Larry starts with number0 cards . number1 are eaten by a hippopotamus .,How many cards does Larry end with ?
43,"Keith spent $ number0 on speakers , $ number1 on a CD player , and $ number2 on new tires . He wanted number3 CD 's for $ number4 , but did n't buy them . In total , how much did he spend ?",136.01 139.38 112.46 3.0 6.16,+ + number0 number1 number2,387.85,"[2, 3, 4, 5, 7, 8, 9, 10, 15, 16, 17, 18]","Keith spent $ number0 on speakers , $ number1 on a CD player , and $ number2 on new tires . He wanted number3 CD 's for $ number4 , but did n't buy them . In total ,",how much did he spend ?
44,"For Halloween Janet and her sister combined the candy they received . Janet had number0 pieces of candy while her sister had number1 . If they ate number2 pieces the first night , how many pieces do they have left ?",34.0 33.0 4.0,- + number0 number1 number2,63.0,"[13, 14, 15, 21, 22, 23, 26, 27, 28, 37, 38, 39]","For Halloween Janet and her sister combined the candy they received . Janet had number0 pieces of candy while her sister had number1 . If they ate number2 pieces the first night ,",how many pieces do they have left ?
45,Each ticket costs $ number0 . How much do number1 tickets cost ?,9.0 4.0,* number0 number1,36.0,"[3, 4, 5, 8, 9, 10, 9, 10, 11]",Each ticket costs $ number0 .,How much do number1 tickets cost ?
46,"In one year , for the election for president there were number0 million voters , whereas in the next year there were number1 million voters . Find the percentage change in the number of voters ?",76.7 129.9,* / - number1 number0 number0 100.0,69.4,"[10, 11, 12, 21, 22, 23, 32, 33, 34]","In one year , for the election for president there were number0 million voters , whereas in the next year there were number1 million voters .",Find the percentage change in the number of voters ?
47,Carla has some marbles . She bought number0 marbles . Now she has number1 marbles all together . How many did she start with ?,489.0 2778.0,- number1 number0,2289.0,"[6, 7, 8, 12, 13, 14, 21, 22, 23]",Carla has some marbles . She bought number0 marbles . Now she has number1 marbles all together .,How many did she start with ?
48,"Lana picked number0 tulips and number1 roses to make flower bouquets . If she only used number2 of the flowers though , how many extra flowers did Lana pick ?",36.0 37.0 70.0,- + number0 number1 number2,3.0,"[1, 2, 3, 4, 5, 6, 15, 16, 17, 26, 27, 28]","Lana picked number0 tulips and number1 roses to make flower bouquets . If she only used number2 of the flowers though ,",how many extra flowers did Lana pick ?
49,James rode number0 miles at number1 miles per hour . How long did James ride ?,80.0 16.0,/ number0 number1,5.0,"[1, 2, 3, 4, 5, 6, 12, 13, 14]",James rode number0 miles at number1 miles per hour .,How long did James ride ?
50,"The tallest player on the basketball team is number0 inches tall . This is number1 inches taller than the shortest player . How tall is the shortest player , in inches ?",77.75 9.5,- number0 number1,68.25,"[7, 8, 9, 13, 14, 15, 28, 29, 30]",The tallest player on the basketball team is number0 inches tall . This is number1 inches taller than the shortest player .,"How tall is the shortest player , in inches ?"
51,How much would number0 pieces of bubble gum cost if each piece costs number1 cents ?,136.0 18.0,* number0 number1,2448.0,"[2, 3, 4, 12, 13, 14, 12, 13, 14]",,How much would number0 pieces of bubble gum cost if each piece costs number1 cents ?
52,Paul had number0 strawberries in his basket . He picked number1 more strawberries . How many strawberries did he have then ?,28.0 35.0,+ number0 number1,63.0,"[1, 2, 3, 9, 10, 11, 18, 19, 20]",Paul had number0 strawberries in his basket . He picked number1 more strawberries .,How many strawberries did he have then ?
53,Iesha has number0 books . number1 are about school and the rest are about sports . How many books about sports does Iesha have ?,344.0 136.0,- number0 number1,208.0,"[1, 2, 3, 4, 5, 6, 21, 22, 23]",Iesha has number0 books . number1 are about school and the rest are about sports .,How many books about sports does Iesha have ?
54,"At a restaurant each adult meal costs $ number0 and kids eat free . If a group of number1 people came in and number2 were kids , how much would it cost for the group to eat ?",2.0 15.0 9.0,* number0 - number1 number2,12.0,"[7, 8, 9, 17, 18, 19, 22, 23, 24, 34, 35, 36]","At a restaurant each adult meal costs $ number0 and kids eat free . If a group of number1 people came in and number2 were kids ,",how much would it cost for the group to eat ?
55,Sam had number0 pennies and number1 nickels in his bank . His dad gave him number2 nickels and number3 quarters . How many nickels does he have now ?,49.0 24.0 39.0 31.0,+ number1 number2,63.0,"[1, 2, 3, 4, 4, 5, 6, 7]",Sam had number0 pennies and number1 nickels in his bank . His dad gave him number2 nickels and number3 quarters .,How many nickels does he have now ?
56,"A painter needed to paint number0 rooms in a building . Each room takes number1 hours to paint . If he already painted number2 rooms , how much longer will he take to paint the rest ?",12.0 7.0 5.0,* number1 - number0 number2,49.0,"[4, 5, 6, 13, 14, 15, 22, 23, 24, 33, 34, 35]","A painter needed to paint number0 rooms in a building . Each room takes number1 hours to paint . If he already painted number2 rooms ,",how much longer will he take to paint the rest ?
57,Sally picked number0 lemons and Mary picked number1 lemons from the lemon tree . How many lemons were picked in total ?,7.0 9.0,+ number0 number1,16.0,"[1, 2, 3, 6, 7, 8, 18, 19, 20]",Sally picked number0 lemons and Mary picked number1 lemons from the lemon tree .,How many lemons were picked in total ?
58,"A waitress put leftover tarts into the fridge on Thursday night . She noticed that the restaurant had number0 tart filled with cherries , number1 tart filled with blueberries , and number2 tart filled with peaches . How many leftover tarts did the restaurant have in all ?",0.08333333333333333 0.75 0.08333333333333333,+ + number0 number0 number1,0.9166666666666666,"[17, 18, 19, 23, 24, 25, 30, 31, 32, 44, 45, 46]","A waitress put leftover tarts into the fridge on Thursday night . She noticed that the restaurant had number0 tart filled with cherries , number1 tart filled with blueberries , and number2 tart filled with peaches .",How many leftover tarts did the restaurant have in all ?
59,"Mike made number0 dollars mowing lawns over the summer . If he spent number1 dollars buying new mower blades , how many number2 dollar games could he buy with the money he had left ?",101.0 47.0 6.0,/ - number0 number1 number2,9.0,"[1, 2, 3, 12, 13, 14, 21, 22, 23, 31, 32, 33]","Mike made number0 dollars mowing lawns over the summer . If he spent number1 dollars buying new mower blades ,",how many number2 dollar games could he buy with the money he had left ?
60,There are number0 calories in a candy bar . How many calories are there in number1 candy bars ?,8.0 3.0,* number0 number1,24.0,"[1, 2, 3, 14, 15, 16, 15, 16, 17]",There are number0 calories in a candy bar .,How many calories are there in number1 candy bars ?
61,Gloria has number0 boxes of tickets . Each box holds number1 tickets and there are number2 boxes in a case . How many tickets does Gloria have ?,9.0 5.0 10.0,* number0 number1,45.0,"[1, 2, 3, 9, 10, 11, 14, 15, 16, 24, 25, 26]",Gloria has number0 boxes of tickets . Each box holds number1 tickets and there are number2 boxes in a case .,How many tickets does Gloria have ?
62,Joan 's cat had number0 kittens . She gave number1 to her friends . How many kittens does she have now ?,8.0 2.0,- number0 number1,6.0,"[3, 4, 5, 8, 9, 10, 18, 19, 20]",Joan 's cat had number0 kittens . She gave number1 to her friends .,How many kittens does she have now ?
63,"Maria had number0 bottles of water in her fridge . If she drank number1 of them and then bought number2 more , how many bottles would she have ?",14.0 8.0 45.0,- + number0 number2 number1,51.0,"[1, 2, 3, 12, 13, 14, 18, 19, 20, 25, 26, 27]","Maria had number0 bottles of water in her fridge . If she drank number1 of them and then bought number2 more ,",how many bottles would she have ?
64,Each cup contains number0 ounces . How many ounces are in number1 cups ?,8.0 33.0,* number0 number1,264.0,"[2, 3, 4, 10, 11, 12, 10, 11, 12]",Each cup contains number0 ounces .,How many ounces are in number1 cups ?
65,"For Halloween Katie and her sister combined the candy they received . Katie had number0 pieces of candy while her sister had number1 . If they ate number2 pieces the first night , how many pieces do they have left ?",8.0 23.0 8.0,- + number0 number1 number0,23.0,"[13, 14, 15, 21, 22, 23, 26, 27, 28, 37, 38, 39]","For Halloween Katie and her sister combined the candy they received . Katie had number0 pieces of candy while her sister had number1 . If they ate number2 pieces the first night ,",how many pieces do they have left ?
66,A spaceship traveled number0 light - year from Earth to Planet X and number1 light - year from Planet X to Planet Y . Then it traveled number2 light - year from Planet Y back to Earth . How many light - years did the spaceship travel in all ?,0.5 0.1 0.1,+ + number0 number1 number1,0.7,"[2, 3, 4, 12, 13, 14, 25, 26, 27, 45, 46, 47]",A spaceship traveled number0 light - year from Earth to Planet X and number1 light - year from Planet X to Planet Y . Then it traveled number2 light - year from Planet Y back to Earth .,How many light - years did the spaceship travel in all ?
67,Martin has number0 boxes of crayons . Each box holds number1 crayons . How many crayons does Martin have ?,8.0 7.0,* number0 number1,56.0,"[1, 2, 3, 9, 10, 11, 16, 17, 18]",Martin has number0 boxes of crayons . Each box holds number1 crayons .,How many crayons does Martin have ?
68,If Anne wandered for number0 hours at number1 miles per hour . How far did Anne go ?,3.0 2.0,* number0 number1,6.0,"[3, 4, 5, 6, 7, 8, 14, 15, 16]",If Anne wandered for number0 hours at number1 miles per hour .,How far did Anne go ?
69,"The Richmond Tigers sold a total of number0 tickets last season . If they sold number1 tickets in the first half of the season , how many tickets did they sell in the second half ?",9570.0 3867.0,- number0 number1,5703.0,"[6, 7, 8, 14, 15, 16, 32, 33, 34]","The Richmond Tigers sold a total of number0 tickets last season . If they sold number1 tickets in the first half of the season ,",how many tickets did they sell in the second half ?
70,"At the town carnival Billy rode the ferris wheel number0 times and the bumper cars number1 times . If each ride cost number2 tickets , how many tickets did he use ?",7.0 3.0 5.0,* number2 + number0 number1,50.0,"[8, 9, 10, 14, 15, 16, 21, 22, 23, 28, 29, 30]","At the town carnival Billy rode the ferris wheel number0 times and the bumper cars number1 times . If each ride cost number2 tickets ,",how many tickets did he use ?
71,"Joan found number0 seashells on the beach , she gave Mike number1 of the seashells . How many seashells does she now have ?",79.0 63.0,- number0 number1,16.0,"[1, 2, 3, 10, 11, 12, 20, 21, 22]","Joan found number0 seashells on the beach , she gave Mike number1 of the seashells .",How many seashells does she now have ?
72,Kelly has number0 Nintendo games . How many does she need to give away so that she will have number1 games left ?,50.0 35.0,- number0 number1,15.0,"[1, 2, 3, 18, 19, 20, 19, 20, 21]",Kelly has number0 Nintendo games .,How many does she need to give away so that she will have number1 games left ?
73,"Mike had number0 video games but number1 of them were n't working . If he wanted to sell the working games for $ number2 each , how much money could he earn ?",15.0 9.0 5.0,* number2 - number0 number1,30.0,"[1, 2, 3, 5, 6, 7, 22, 23, 24, 29, 30, 31]","Mike had number0 video games but number1 of them were n't working . If he wanted to sell the working games for $ number2 each ,",how much money could he earn ?
74,"Jesse has number0 bananas . If he shares them among number1 friends , how many bananas does each friend get ?",21.0 3.0,/ number0 number1,7.0,"[1, 2, 3, 9, 10, 11, 17, 18, 19]","Jesse has number0 bananas . If he shares them among number1 friends ,",how many bananas does each friend get ?
75,"Rachel bought number0 new chairs and number1 new tables for her house . If she spent number2 minutes on each piece furniture putting it together , how many minutes did it take her to finish ?",7.0 3.0 4.0,* number2 + number0 number1,40.0,"[1, 2, 3, 5, 6, 7, 15, 16, 17, 32, 33, 34]","Rachel bought number0 new chairs and number1 new tables for her house . If she spent number2 minutes on each piece furniture putting it together ,",how many minutes did it take her to finish ?
76,"Mike joined his school 's band . He bought a trumpet for $ number0 , and a song book which was $ number1 . How much did Mike spend at the music store ?",145.16 5.84,+ number0 number1,151.0,"[12, 13, 14, 21, 22, 23, 30, 31, 32]","Mike joined his school 's band . He bought a trumpet for $ number0 , and a song book which was $ number1 .",How much did Mike spend at the music store ?
77,Lewis saved checking on the grapevines for his last stop . He was told by one of the pickers that they fill number0 drums of grapes per day . How many drums of grapes would be filled in number1 days ?,324.0 9.0,* number0 number1,2916.0,"[21, 22, 23, 37, 38, 39, 37, 38, 39]",Lewis saved checking on the grapevines for his last stop . He was told by one of the pickers that they fill number0 drums of grapes per day .,How many drums of grapes would be filled in number1 days ?
78,"If Teresa jogged number0 kilometers at number1 kilometers per hour , how long was Teresa jogging ?",25.0 5.0,/ number0 number1,5.0,"[2, 3, 4, 5, 6, 7, 13, 14, 15]","If Teresa jogged number0 kilometers at number1 kilometers per hour ,",how long was Teresa jogging ?
79,Megan has number0 seashells . How many more seashells does she need to find to have number1 seashells in her collection ?,19.0 25.0,- number1 number0,6.0,"[1, 2, 3, 15, 16, 17, 18, 19, 20]",Megan has number0 seashells .,How many more seashells does she need to find to have number1 seashells in her collection ?
80,Sue ’ s family went on vacation . Her mom drove the car at number0 mph . They camped at a campground after traveling for number1 hours . How far was the campground from their home ?,60.0 5.0,* number0 number1,300.0,"[12, 13, 14, 23, 24, 25, 34, 35, 36]",Sue ’ s family went on vacation . Her mom drove the car at number0 mph . They camped at a campground after traveling for number1 hours .,How far was the campground from their home ?
81,Joan has number0 orange balloons but lost number1 of them . How many orange balloons does Joan have now ?,8.0 2.0,- number0 number1,6.0,"[1, 2, 3, 8, 9, 10, 18, 19, 20]",Joan has number0 orange balloons but lost number1 of them .,How many orange balloons does Joan have now ?
82,"Heather went to the county fair last weekend . When she got there , she had to walk number0 mile from the car to the entrance . Then she walked number1 mile to the carnival rides and number2 mile from the carnival rides back to the car . How many miles did Heather walk in all ?",0.3333333333333333 0.3333333333333333 0.08333333333333333,+ + number0 number0 number2,0.75,"[17, 18, 19, 29, 30, 31, 36, 37, 38, 53, 54, 55]","Heather went to the county fair last weekend . When she got there , she had to walk number0 mile from the car to the entrance . Then she walked number1 mile to the carnival rides and number2 mile from the carnival rides back to the car .",How many miles did Heather walk in all ?
83,Craig starts with number0 Skittles . number1 are eaten by a hippopotamus . How many Skittles does Craig end with ?,5.0 2.0,- number0 number1,3.0,"[2, 3, 4, 5, 6, 7, 17, 18, 19]",Craig starts with number0 Skittles . number1 are eaten by a hippopotamus .,How many Skittles does Craig end with ?
84,The schools debate team had number0 boys and number1 girls on it . If they were split into groups of number2 how many groups could they make ?,5.0 40.0 9.0,/ + number0 number1 number2,5.0,"[4, 5, 6, 7, 8, 9, 19, 20, 21, 24, 25, 26]",The schools debate team had number0 boys and number1 girls on it . If they were split into groups of number2,how many groups could they make ?
85,Isabel bought number0 pieces of paper . She used number1 pieces of the paper . How many pieces of paper does she have left ?,900.0 156.0,- number0 number1,744.0,"[1, 2, 3, 8, 9, 10, 21, 22, 23]",Isabel bought number0 pieces of paper . She used number1 pieces of the paper .,How many pieces of paper does she have left ?
