,Question,Numbers,Equation,Answer,group_nums,Grade,Type,Body,Ques_Statement
10,he wanted to make sure that he is protected from the cold evenings in the forest so he decided to build a fireplace made of cement . if he bought number0 lbs of cement and his son brought another number1 lbs how much cement did he have originally if he now has number2 lbs ?,215 137 450,- number2 + number0 number1,98.0,"[2, 38, 39, 40, 10, 51, 52, 53, 24, 29, 30, 31]",3,Subtraction,he wanted to make sure that he is protected from the cold evenings in the forest so he decided to build a fireplace made of cement . if he bought number0 lbs of cement and his son brought another number1 lbs,how much cement did he have originally if he now has number2 lbs ?
11,after the cleaning the rivers they went on to tidy up the farmlands . if lizzie 's group covered number0 square feet of land and the other group covered number1 how many more square feet of land remains to be cleaned if there is total of number2 square feet of land ?,250 265 900,- number2 + number0 number1,385.0,"[4, 45, 46, 47, 48, 17, 18, 19, 20, 21, 49, 23, 50, 28, 29, 30]",3,Subtraction,after the cleaning the rivers they went on to tidy up the farmlands . if lizzie 's group covered number0 square feet of land and the other group covered number1,how many more square feet of land remains to be cleaned if there is total of number2 square feet of land ?
12,the number0 groups will also collect garbage from all the number1 houses in the city . if lizzie 's group covered number2 houses while the other group covered number3 how many more houses remain ?,2 453 238 190,- number1 + number2 number3,25.0,"[0, 1, 2, 32, 4, 5, 33, 9, 10, 11, 14, 15, 17, 20, 21, 22, 27, 28, 29, 31]",3,Subtraction,the number0 groups will also collect garbage from all the number1 houses in the city . if lizzie 's group covered number2 houses while the other group covered number3,how many more houses remain ?
13,finally they had to roam around number0 factories to make sure they are throwing their wastes properly . if their group went to number1 factories and the second went to number2 how many factories remain unchecked ?,169 69 52,- number0 + number1 number2,48.0,"[33, 34, 35, 4, 5, 6, 7, 14, 16, 22, 23, 24, 29, 30, 31]",3,Subtraction,finally they had to roam around number0 factories to make sure they are throwing their wastes properly . if their group went to number1 factories and the second went to number2,how many factories remain unchecked ?
14,kevin and his family just moved to a new neighborhood so they are holding a party to be able to meet their new neighbors . for the party they prepared a few snacks for everyone . if his sister prepared number0 mini cupcakes and his mother prepared number1 how many did his grandmother prepare if they have a total of number2 cupcakes ?,25 30 100,- number2 + number0 number1,45.0,"[3, 39, 40, 41, 42, 46, 47, 48, 59, 60, 61]",3,Subtraction,kevin and his family just moved to a new neighborhood so they are holding a party to be able to meet their new neighbors . for the party they prepared a few snacks for everyone . if his sister prepared number0 mini cupcakes and his mother prepared number1,how many did his grandmother prepare if they have a total of number2 cupcakes ?
15,they also prepared some chips . if he prepared number0 grams of chips and his father prepared number1 grams how much chips should his brother prepare if they are to have number2 grams of chips ?,350 268 800,- number2 + number0 number1,182.0,"[32, 33, 2, 34, 8, 9, 10, 16, 17, 18, 24, 30, 31]",3,Subtraction,they also prepared some chips . if he prepared number0 grams of chips and his father prepared number1 grams,how much chips should his brother prepare if they are to have number2 grams of chips ?
16,after the party kevin estimated that the total money they spent on food drinks and utensils sums up to $ number0 . if they spent $ number1 on food and $ number2 on utensils and other stuff how much did they spend on drinks ?,560.00 268.00 118.00,- number0 + number1 number2,174.0,"[32, 2, 41, 42, 43, 19, 20, 25, 26, 27, 30, 31]",3,Subtraction,after the party kevin estimated that the total money they spent on food drinks and utensils sums up to $ number0 . if they spent $ number1 on food and $ number2 on utensils and other stuff,how much did they spend on drinks ?
17,andrew is having his friends over for game night . so he decided to prepare the snacks and the games . he started by making mini sandwiches . if he has number0 friends coming over and he made number1 sandwiches for each one of them how many sandwiches did he make in total ?,4 3,* number0 number1,12.0,"[32, 2, 3, 37, 38, 39, 41, 9, 18, 50, 51, 52, 22, 30, 31]",3,Multiplication,andrew is having his friends over for game night . so he decided to prepare the snacks and the games . he started by making mini sandwiches . if he has number0 friends coming over and he made number1 sandwiches for each one of them,how many sandwiches did he make in total ?
18,he also made some juice from fresh oranges . if he used number0 oranges per glass of juice and he made number1 glasses of juice how many oranges did he use ?,2 6,* number0 number1,12.0,"[2, 6, 11, 12, 13, 14, 17, 20, 21, 22, 28, 29, 30]",3,Multiplication,he also made some juice from fresh oranges . if he used number0 oranges per glass of juice and he made number1 glasses of juice,how many oranges did he use ?
19,lastly andrew tried to compute his expenses for the game night . if he spent $ number0 for each game they played and they played a total of number1 games how much money did he spend that night ?,9.00 5,* number0 number1,45.0,"[2, 35, 36, 37, 15, 16, 17, 18, 27, 28, 29]",3,Multiplication,lastly andrew tried to compute his expenses for the game night . if he spent $ number0 for each game they played and they played a total of number1 games,how much money did he spend that night ?
20,her mom also baked some cookies . if she baked number0 pans of cookies and there are number1 cookies per pan how many cookies did her mom bake for her birthday ?,5 8,* number0 number1,40.0,"[2, 3, 9, 10, 11, 15, 16, 17, 18, 19, 20, 28, 29, 30]",3,Multiplication,her mom also baked some cookies . if she baked number0 pans of cookies and there are number1 cookies per pan,how many cookies did her mom bake for her birthday ?
21,they planned to serve some cold drinks as well . if they plan to make number0 pitchers of drinks and each pitcher can fill number1 glasses how many glasses of drinks are they planning to prepare in total ?,9 6,* number0 number1,54.0,"[35, 4, 36, 37, 13, 14, 15, 16, 17, 20, 23, 24, 25]",3,Multiplication,they planned to serve some cold drinks as well . if they plan to make number0 pitchers of drinks and each pitcher can fill number1 glasses,how many glasses of drinks are they planning to prepare in total ?
22,they decided to hold the party in their backyard . if they have number0 sets of tables and each set has number1 chairs how many chairs do they have for the guests ?,8 7,* number0 number1,56.0,"[2, 10, 12, 13, 14, 18, 20, 21, 22, 29, 30, 31]",3,Multiplication,they decided to hold the party in their backyard . if they have number0 sets of tables and each set has number1 chairs,how many chairs do they have for the guests ?
23,at the end of the party mona gave away some souvenirs to her number0 closest friends . if each of them received number1 souvenir items how many souvenirs did mona give away ?,6 2,* number0 number1,12.0,"[4, 12, 13, 14, 15, 18, 21, 22, 23, 24, 29, 30, 31]",3,Multiplication,at the end of the party mona gave away some souvenirs to her number0 closest friends . if each of them received number1 souvenir items,how many souvenirs did mona give away ?
24,john is building a tree house to serve as his hideout whenever he wanted to spend some time alone with himself . the first thing he did is to gather some materials . for the pillars he needs number0 sets of wood with different lengths . if the first set of wood is number1 feet long and the second set is number2 times longer than the first set how long is the second set of wood ?,2 4 5,* number1 number2,20.0,"[37, 38, 39, 73, 74, 75, 15, 52, 53, 54, 60, 61, 62]",3,Multiplication,john is building a tree house to serve as his hideout whenever he wanted to spend some time alone with himself . the first thing he did is to gather some materials . for the pillars he needs number0 sets of wood with different lengths . if the first set of wood is number1 feet long and the second set is number2 times longer than the first set,how long is the second set of wood ?
25,another material that he needs is rope . if he already has number0 feet of rope and he needs additional ropes having number1 times the length of what he already have how long should be the additional rope ?,6 5,* number0 number1,30.0,"[3, 35, 36, 37, 11, 12, 13, 21, 22, 23]",3,Multiplication,another material that he needs is rope . if he already has number0 feet of rope and he needs additional ropes having number1 times the length of what he already have,how long should be the additional rope ?
26,for the walls of the house he would use number0 large planks of wood . if each plank of wood needs number1 pieces of nails to be secured how many nails does john need for the house wall ?,9 8,* number0 number1,72.0,"[35, 36, 5, 37, 8, 9, 10, 11, 16, 20, 21, 22]",3,Multiplication,for the walls of the house he would use number0 large planks of wood . if each plank of wood needs number1 pieces of nails to be secured,how many nails does john need for the house wall ?
27,having this kind of collection made jack a fast reader . if he can read number0 books in a day how many books can he read in a year ( a year = number1 days ) ?,9 365,* number0 number1,3285.0,"[32, 33, 34, 3, 35, 10, 14, 15, 16]",3,Multiplication,having this kind of collection made jack a fast reader . if he can read number0 books in a day,how many books can he read in a year ( a year = number1 days ) ?
28,lexie has a lot of art materials . she needs to organize all these materials into containers . she counted her crayons and found out that she has number0 crayons which she will place in crayon boxes . every crayon box can contain number1 crayons . how many crayon boxes does she need ?,80 8,/ number0 number1,10.0,"[1, 4, 38, 9, 42, 43, 44, 50, 51, 52, 27, 28, 29]",3,Common-Division,lexie has a lot of art materials . she needs to organize all these materials into containers . she counted her crayons and found out that she has number0 crayons which she will place in crayon boxes . every crayon box can contain number1 crayons .,how many crayon boxes does she need ?
29,a pile of clean white paper was stacked in the corner of her room . she decided to place these papers in paper envelopes which can contain number0 white papers . how many paper envelopes does she need if she has number1 clean white papers ?,10 120,/ number1 number0,12.0,"[3, 40, 41, 42, 11, 44, 13, 12, 9, 43, 26, 27, 28, 29]",3,Common-Division,a pile of clean white paper was stacked in the corner of her room . she decided to place these papers in paper envelopes which can contain number0 white papers .,how many paper envelopes does she need if she has number1 clean white papers ?
30,beside the pile of clean white paper was a stack of number0 sheets of used paper . she wants to place it in boxes for recycling . if every box can contain number1 sheets how many boxes does she need ?,700 100,/ number0 number1,7.0,"[32, 33, 4, 37, 38, 39, 10, 11, 12, 28, 31]",3,Common-Division,beside the pile of clean white paper was a stack of number0 sheets of used paper . she wants to place it in boxes for recycling . if every box can contain number1 sheets,how many boxes does she need ?
31,lexie 's younger brother helped pick up all the paper clips in lexie 's room . he was able to collect number0 paper clips . if he wants to distribute the paper clips in number1 boxes how many paper clips will each box contain ?,81 9,/ number0 number1,9.0,"[33, 34, 35, 4, 5, 41, 42, 43, 12, 18, 20, 21, 22, 23]",3,Common-Division,lexie 's younger brother helped pick up all the paper clips in lexie 's room . he was able to collect number0 paper clips . if he wants to distribute the paper clips in number1 boxes,how many paper clips will each box contain ?
32,christian and his parents went to mt . falton national park for the weekend . they were welcomed warmly by the rangers who invite volunteers and call them `` earth keepers '' . the junior ranger asked christian to help him place number0 seedlings in packets . if every packet needs to contain number1 seeds how many packets do they need ?,420 7,/ number0 number1,60.0,"[58, 5, 41, 42, 43, 48, 52, 53, 54, 26, 59, 60]",3,Common-Division,christian and his parents went to mt . falton national park for the weekend . they were welcomed warmly by the rangers who invite volunteers and call them `` earth keepers '' . the junior ranger asked christian to help him place number0 seedlings in packets . if every packet needs to contain number1 seeds,how many packets do they need ?
33,christian 's mother prepared lemonade . every pitcher of lemonade can serve number0 glasses . if she was able to serve number1 glasses of lemonade how many pitchers of lemonade did she prepare ?,5 30,/ number1 number0,6.0,"[32, 5, 6, 11, 12, 13, 20, 21, 22, 30, 31]",3,Common-Division,christian 's mother prepared lemonade . every pitcher of lemonade can serve number0 glasses . if she was able to serve number1 glasses of lemonade,how many pitchers of lemonade did she prepare ?
34,christian 's father and the senior ranger gathered firewood as they walked towards the lake in the park and brought with them sacks . if every sack can contain around number0 pieces of wood how many sacks were they able to fill if they gathered number1 pieces of wood ?,20 80,/ number1 number0,4.0,"[4, 44, 45, 46, 47, 48, 20, 25, 29, 30, 31]",3,Common-Division,christian 's father and the senior ranger gathered firewood as they walked towards the lake in the park and brought with them sacks . if every sack can contain around number0 pieces of wood,how many sacks were they able to fill if they gathered number1 pieces of wood ?
35,christian and the junior ranger brought a bag of number0 nails as they visited every station assigned to the junior ranger . if they left exactly number1 nails in every station they visited how many stations did joline and the junior ranger visit ?,140 7,/ number0 number1,20.0,"[2, 8, 9, 10, 40, 41, 42, 14, 25, 26, 27, 29]",3,Common-Division,christian and the junior ranger brought a bag of number0 nails as they visited every station assigned to the junior ranger . if they left exactly number1 nails in every station they visited,how many stations did joline and the junior ranger visit ?
36,sunday morning was spent for making wood carvings which can be sold as souvenir for tourists . they were placed in shelves that can contain number0 wood carvings at a time . if number1 wood carvings were displayed how many shelves were filled with carvings ?,8 56,/ number1 number0,7.0,"[32, 33, 34, 35, 5, 7, 42, 43, 44, 24, 25, 26, 27]",3,Common-Division,sunday morning was spent for making wood carvings which can be sold as souvenir for tourists . they were placed in shelves that can contain number0 wood carvings at a time . if number1 wood carvings were displayed,how many shelves were filled with carvings ?
37,shiela has started writing a list of gifts that she plans to give to her family and friends this christmas . for her classmates she made colorful paper stars which will be placed in small clear bottles . she was able to prepare number0 paper stars . how many stars will be placed in each bottle if shiela has number1 classmates ?,45 9,/ number0 number1,5.0,"[1, 4, 5, 42, 43, 44, 45, 11, 54, 58, 59, 60]",3,Common-Division,shiela has started writing a list of gifts that she plans to give to her family and friends this christmas . for her classmates she made colorful paper stars which will be placed in small clear bottles . she was able to prepare number0 paper stars .,how many stars will be placed in each bottle if shiela has number1 classmates ?
38,shiela has number0 neighbors who like to collect animal drawings . shiela has a talent for drawing and so she drew number1 animals on small pieces of paper . if she plans to give the same number of animal drawings to her neighbors how many will each of them receive ?,6 54,/ number1 number0,9.0,"[1, 2, 3, 9, 46, 47, 48, 49, 20, 21, 22]",3,Common-Division,shiela has number0 neighbors who like to collect animal drawings . shiela has a talent for drawing and so she drew number1 animals on small pieces of paper . if she plans to give the same number of animal drawings to her neighbors,how many will each of them receive ?
39,for the fifth grade play the chairs have been put into number0 rows with number1 chairs in each row . how many chairs have been put out for the play ?,27 16,* number0 number1,432.0,"[1, 4, 10, 11, 12, 13, 14, 15, 17, 27, 28, 29]",3,Multiplication,for the fifth grade play the chairs have been put into number0 rows with number1 chairs in each row .,how many chairs have been put out for the play ?
40,there are number0 fishbowls . each fishbowl has number1 fish . how many fish are there ?,261 23,* number0 number1,6003.0,"[1, 2, 3, 4, 5, 7, 8, 9, 13, 14, 15]",3,Multiplication,there are number0 fishbowls . each fishbowl has number1 fish .,how many fish are there ?
41,there were number0 book shelves . each book shelf had number1 books . how many books were on the shelves ?,150 15,* number0 number1,2250.0,"[1, 2, 3, 4, 6, 9, 10, 11, 17, 18, 19]",3,Multiplication,there were number0 book shelves . each book shelf had number1 books .,how many books were on the shelves ?
42,your class is having a pizza party . you buy number0 pizzas . each pizza has number1 slices . how many slices is that altogether ?,5 4,* number0 number1,20.0,"[1, 2, 5, 9, 10, 11, 13, 15, 16, 17, 22, 23, 24]",3,Multiplication,your class is having a pizza party . you buy number0 pizzas . each pizza has number1 slices .,how many slices is that altogether ?
43,it takes number0 minutes to bake number1 pan of cookies . how long will it take to bake number2 pans of cookies ?,7 1 4,* number0 number2,28.0,"[1, 2, 3, 5, 6, 7, 17, 18, 19, 20, 21]",3,Multiplication,it takes number0 minutes to bake number1 pan of cookies .,how long will it take to bake number2 pans of cookies ?
44,the razorback t-shirt shop makes $ number0 dollars off each t-shirt sold . during the arkansas and texas tech game they sold number1 t-shirts . how much money did they make from selling the t-shirts ?,9 245,* number0 number1,2205.0,"[32, 33, 34, 4, 5, 6, 7, 8, 9, 21, 22, 23]",3,Multiplication,the razorback t-shirt shop makes $ number0 dollars off each t-shirt sold . during the arkansas and texas tech game they sold number1 t-shirts .,how much money did they make from selling the t-shirts ?
45,robin has number0 packages of gum . there are number1 pieces in each package . how many pieces of gum does robin have ?,27 18,* number0 number1,486.0,"[1, 2, 3, 7, 8, 9, 10, 12, 20, 21, 22]",3,Multiplication,robin has number0 packages of gum . there are number1 pieces in each package .,how many pieces of gum does robin have ?
46,there are number0 students making number1 stars each for the school wall . how many stars will they make all together ?,124 3,* number0 number1,372.0,"[1, 2, 3, 4, 5, 6, 7, 18, 19, 20]",3,Multiplication,there are number0 students making number1 stars each for the school wall .,how many stars will they make all together ?
47,mrs. hilt uses number0 ounces of detergent to wash a pound of clothes . how many ounces of soap will she use to wash number1 pounds of clothes ?,2 9,* number0 number1,18.0,"[1, 2, 3, 4, 7, 9, 23, 24, 25, 26, 27]",3,Multiplication,mrs. hilt uses number0 ounces of detergent to wash a pound of clothes .,how many ounces of soap will she use to wash number1 pounds of clothes ?
48,each bag contains number0 pounds of oranges . how many pounds of oranges are in number1 bags ?,23 45,* number0 number1,1035.0,"[0, 1, 2, 3, 4, 8, 14, 15, 16]",3,Multiplication,each bag contains number0 pounds of oranges .,how many pounds of oranges are in number1 bags ?
49,there are some children at a bakery . as they were deciding what to buy number0 girls came in and number1 boys left . if there are number2 children in the bakery in the end how many children were there at first ?,24 31 78,- + number2 number1 number0,85.0,"[1, 2, 6, 39, 40, 41, 12, 14, 15, 16, 19, 20, 21, 26, 27, 28]",2,TVQ-Initial,there are some children at a bakery . as they were deciding what to buy number0 girls came in and number1 boys left . if there are number2 children in the bakery in the end,how many children were there at first ?
50,blithe has a lot of toys . he lost number0 of them and found number1 in his closet . if he had number2 after that how many toys did blithe have at first ?,6 9 43,+ - number2 number1 number0,40.0,"[32, 8, 9, 10, 13, 14, 15, 21, 22, 23, 30, 31]",2,TVQ-Initial,blithe has a lot of toys . he lost number0 of them and found number1 in his closet . if he had number2 after that,how many toys did blithe have at first ?
51,a chef served number0 different foods for a banquet : number1 plates lobster rolls number2 plates of spicy hot noodles and number3 plates of seafood noodles . how many plates of food did the chef make altogether ?,3 25 14 16,+ + number1 number2 number3,55.0,"[1, 2, 3, 4, 5, 34, 35, 8, 9, 10, 11, 36, 13, 14, 15, 20, 21, 22]",4,Sum,a chef served number0 different foods for a banquet : number1 plates lobster rolls number2 plates of spicy hot noodles and number3 plates of seafood noodles .,how many plates of food did the chef make altogether ?
52,a washing machine can wash number0 pounds of clothes per day . if there are number1 pounds of clothes to be washed per day how many washing machines are needed ?,28 200,/ number1 number0,7.142857142857143,"[2, 4, 5, 6, 9, 14, 15, 16, 22, 27, 28, 29]",4,Ceil-Division,a washing machine can wash number0 pounds of clothes per day . if there are number1 pounds of clothes to be washed per day,how many washing machines are needed ?
53,mrs. smith gave number0 strawberries to number1 girls equally . how many strawberries did each girl get ?,53 8,/ number0 number1,6.625,"[1, 2, 3, 4, 5, 6, 7, 14, 15, 16]",3,Floor-Division,mrs. smith gave number0 strawberries to number1 girls equally .,how many strawberries did each girl get ?
54,tom had $ number0 and he wanted to buy as many folders as he could . if number1 folder costs $ number2 how many folders can tom buy ?,19 1 2,/ number0 number2,9.5,"[1, 2, 3, 4, 16, 17, 18, 20, 21, 22, 25, 26, 27]",3,Floor-Division,tom had $ number0 and he wanted to buy as many folders as he could . if number1 folder costs $ number2,how many folders can tom buy ?
55,there was number0 ml of tea in a pot . anna poured the tea into some cups . if there were number1 ml of tea in each cup how many cups were filled with tea ?,1050 65,/ number0 number1,16.153846153846153,"[32, 1, 2, 3, 33, 34, 20, 21, 22, 26]",5,Floor-Division,there was number0 ml of tea in a pot . anna poured the tea into some cups . if there were number1 ml of tea in each cup,how many cups were filled with tea ?
56,dave earned $ number0 . sara earned $ number1 . how much more money did dave earn than sara ?,53.90 39.33,- number0 number1,14.57,"[1, 2, 3, 6, 7, 8, 16, 17, 18]",4,Difference,dave earned $ number0 . sara earned $ number1 .,how much more money did dave earn than sara ?
57,greg and brad started reading their books at the same time . greg read number0 pages a day . brad read number1 pages a day . how many more pages did brad read than greg ?,18 26,- number1 number0,8.0,"[32, 1, 2, 33, 34, 6, 13, 14, 15, 20, 21, 22]",5,Difference,greg and brad started reading their books at the same time . greg read number0 pages a day . brad read number1 pages a day .,how many more pages did brad read than greg ?
58,rick and todd have the same number of candy bars . rick ate number0 candy bars . todd gave away number1 of his candy bars . how many more candy bars did rick have than todd then ?,11 18,- number1 number0,7.0,"[1, 2, 34, 35, 36, 7, 12, 13, 14, 15, 19, 20, 21]",5,Difference,rick and todd have the same number of candy bars . rick ate number0 candy bars . todd gave away number1 of his candy bars .,how many more candy bars did rick have than todd then ?
59,annette and caitlin weigh number0 pounds together . caitlin and sara weigh number1 pounds together . how much more does annette weigh than sara ?,95 87,- number0 number1,8.0,"[3, 4, 5, 11, 12, 13, 21, 22, 23]",3,Difference,annette and caitlin weigh number0 pounds together . caitlin and sara weigh number1 pounds together .,how much more does annette weigh than sara ?
60,number0 zoo guide spoke to a group of number1 children . another guide spoke to a group of number2 children . there are number3 guides at the zoo . how many children did the zoo guides speak to ?,1 19 25 22,+ number1 number2,44.0,"[0, 1, 2, 3, 35, 36, 37, 7, 8, 9, 17, 18, 19, 22, 23, 24]",3,Addition,number0 zoo guide spoke to a group of number1 children . another guide spoke to a group of number2 children . there are number3 guides at the zoo .,how many children did the zoo guides speak to ?
61,zoe is on vacation . she has already taken number0 pictures . she has enough film left to take number1 more pictures . zoe took number2 more pictures at the dolphin show . how many pictures has zoe taken altogether ?,28 32 16,+ number0 number2,44.0,"[1, 3, 5, 6, 37, 8, 9, 10, 38, 39, 18, 19, 20, 21, 24, 25, 26, 27]",3,Addition,zoe is on vacation . she has already taken number0 pictures . she has enough film left to take number1 more pictures . zoe took number2 more pictures at the dolphin show .,how many pictures has zoe taken altogether ?
62,the book store is very busy today . there are number0 children listening to a story . number1 people are shopping for books . number2 people are at the checkout counter . how many people are at the bookstore ?,25 36 17,+ + number0 number1 number2,78.0,"[1, 3, 36, 37, 6, 38, 9, 10, 11, 17, 18, 24, 25]",3,Sum,the book store is very busy today . there are number0 children listening to a story . number1 people are shopping for books . number2 people are at the checkout counter .,how many people are at the bookstore ?
63,elizabeth studied number0 minutes for her science test . she studied number1 minutes for her math test . how long did elizabeth study altogether ?,25 35,+ number0 number1,60.0,"[1, 2, 3, 10, 11, 12, 21, 22, 23]",3,Addition,elizabeth studied number0 minutes for her science test . she studied number1 minutes for her math test .,how long did elizabeth study altogether ?
64,danny collects bottle caps . he found number0 bottle caps at the park . now he has number1 bottle caps in his collection . how many bottle caps did danny have at first ?,18 55,- number1 number0,37.0,"[32, 1, 2, 6, 7, 8, 9, 16, 17, 18, 19, 30, 31]",3,Subtraction,danny collects bottle caps . he found number0 bottle caps at the park . now he has number1 bottle caps in his collection .,how many bottle caps did danny have at first ?
65,mikayla has a huge collection of music cds . she gave number0 cds to her friend . now she has number1 cds left . how many cds were in mikayla 's collection at first ?,15 78,+ number0 number1,93.0,"[32, 1, 2, 33, 7, 10, 11, 12, 19, 20, 21, 31]",3,Addition,mikayla has a huge collection of music cds . she gave number0 cds to her friend . now she has number1 cds left .,how many cds were in mikayla 's collection at first ?
66,there are number0 students in mrs. riley 's class but she only has number1 pencils . how many more pencils does mrs. riley need ?,28 19,- number0 number1,9.0,"[1, 2, 3, 7, 12, 13, 14, 21, 22, 23]",3,Subtraction,there are number0 students in mrs. riley 's class but she only has number1 pencils .,how many more pencils does mrs. riley need ?
67,trevor counted number0 coins in his bank . he counted number1 quarters . the rest are dimes . how many more coints of the total than quarts does trevor have ?,77 29,- number0 number1,48.0,"[1, 2, 3, 9, 10, 11, 27, 28, 29]",3,Difference,trevor counted number0 coins in his bank . he counted number1 quarters . the rest are dimes .,how many more coints of the total than quarts does trevor have ?
68,bridget wants to win the giant stuffed panda bear . she needs a total of number0 points to get it . bridget already scored number1 points at the penny pitch booth . she scored number2 more points on her next try . how many more points does bridget need ?,75 35 18,- - number0 number1 number2,22.0,"[33, 34, 35, 36, 2, 3, 1, 6, 14, 15, 16, 46, 47, 48, 23, 24, 25]",3,TVQ-Change,bridget wants to win the giant stuffed panda bear . she needs a total of number0 points to get it . bridget already scored number1 points at the penny pitch booth . she scored number2 more points on her next try .,how many more points does bridget need ?
69,frankie and max went trick-or-treating . frankie got number0 pieces of candy . max got number1 pieces of candy . how many more pieces of candy did max get ?,74 92,- number1 number0,18.0,"[1, 2, 7, 8, 9, 14, 15, 16, 26, 27, 28]",3,Subtraction,frankie and max went trick-or-treating . frankie got number0 pieces of candy . max got number1 pieces of candy .,how many more pieces of candy did max get ?
70,the book nook sold number0 computer books last week . the sold number1 more cook books than computer books . how many cook books did the book nook sell ?,27 15,+ number0 number1,42.0,"[1, 3, 4, 5, 6, 8, 11, 12, 13, 26, 27, 28]",3,Addition,the book nook sold number0 computer books last week . the sold number1 more cook books than computer books .,how many cook books did the book nook sell ?
71,angela won a contest . she gets $ number0 to spend at puzzle palace . she bought many wonderful puzzles . she had $ number1 left . how much did she spend ?,90 12,- number0 number1,78.0,"[1, 7, 8, 9, 23, 24, 25, 29, 30, 31]",3,Subtraction,angela won a contest . she gets $ number0 to spend at puzzle palace . she bought many wonderful puzzles . she had $ number1 left .,how much did she spend ?
