,Question,Numbers,Equation,Answer,group_nums,Type,Variation Type,Body,Ques
32,paul had number0 books . after selling some books in a garage sale and giving number1 books to his friend he had number2 books left . how many books did he sell in the garage sale ?,108 35 62,- - number0 number1 number2,11.0,"[1, 2, 3, 33, 5, 34, 35, 9, 14, 15, 16, 21, 22, 23]",Subtraction,21,paul had number0 books . after selling some books in a garage sale and giving number1 books to his friend he had number2 books left .,how many books did he sell in the garage sale ?
33,paul had number0 books . after buying some in a garage sale he had number1 left . how many books did he buy ?,50 151,- number1 number0,101.0,"[1, 2, 3, 5, 8, 13, 14, 15, 20, 21, 22]",Subtraction,22,paul had number0 books . after buying some in a garage sale he had number1 left .,how many books did he buy ?
34,paul had number0 books . after selling some in a garage sale he bought number1 new ones . if he has number2 books now how many books did he sell ?,2 150 58,- + number0 number1 number2,94.0,"[1, 2, 3, 7, 8, 10, 11, 13, 14, 15, 16, 20, 21, 22, 27, 28, 29]",Subtraction,22,paul had number0 books . after selling some in a garage sale he bought number1 new ones . if he has number2 books now,how many books did he sell ?
35,paul had number0 books . after selling some in a garage sale he bought number1 new ones . if he has number2 books now how many more books did he sell than he bought ?,21 42 15,- number0 number2,6.0,"[32, 1, 2, 3, 33, 7, 8, 10, 12, 13, 14, 15, 16, 20, 21, 22, 31]",Subtraction,"22, 11",paul had number0 books . after selling some in a garage sale he bought number1 new ones . if he has number2 books now,how many more books did he sell than he bought ?
36,paul had number0 books . after selling some in a garage sale he bought number1 new ones . if he has number2 books now how many more books did he buy than he sold ?,71 38 116,- number2 number0,45.0,"[32, 1, 2, 3, 33, 7, 8, 10, 12, 13, 14, 15, 16, 20, 21, 22, 31]",Subtraction,"22, 11",paul had number0 books . after selling some in a garage sale he bought number1 new ones . if he has number2 books now,how many more books did he buy than he sold ?
37,paul had number0 books and number1 pens . after selling some books and pens in a garage sale he had number2 books and number3 pens left . how many books did he sell in the garage sale ?,108 55 66 59,- number0 number2,42.0,"[1, 2, 3, 4, 5, 6, 34, 35, 9, 36, 19, 20, 21, 22, 23, 24, 25]",Subtraction,33,paul had number0 books and number1 pens . after selling some books and pens in a garage sale he had number2 books and number3 pens left .,how many books did he sell in the garage sale ?
38,paul had number0 books and number1 pens . after selling some books and pens in a garage sale he had number2 books and number3 pens left . how many pens did he sell in the garage sale ?,51 106 82 14,- number1 number3,92.0,"[1, 2, 3, 4, 5, 6, 34, 35, 9, 36, 19, 20, 21, 22, 23, 24, 25]",Subtraction,"33, 12",paul had number0 books and number1 pens . after selling some books and pens in a garage sale he had number2 books and number3 pens left .,how many pens did he sell in the garage sale ?
39,paul sold some books in a garage sale leaving him with number0 books . if he had number1 books initially how many books did he sell ?,27 136,- number1 number0,109.0,"[1, 2, 7, 10, 11, 12, 16, 17, 18, 23, 24, 25]",Subtraction,32,paul sold some books in a garage sale leaving him with number0 books . if he had number1 books initially,how many books did he sell ?
40,paul had number0 books . after giving number1 books to his friend and selling some books in a garage sale he had number2 books left . how many books did he sell in the garage sale ?,134 39 68,- - number0 number1 number2,27.0,"[1, 2, 3, 33, 5, 6, 7, 8, 34, 35, 13, 21, 22, 23]",Subtraction,"21, 32",paul had number0 books . after giving number1 books to his friend and selling some books in a garage sale he had number2 books left .,how many books did he sell in the garage sale ?
41,paul had number0 pens and number1 books . after selling some books and pens in a garage sale he had number2 books and number3 pens left . how many books did he sell in the garage sale ?,95 153 13 23,- number1 number2,140.0,"[1, 2, 3, 4, 5, 6, 34, 35, 9, 36, 19, 20, 21, 22, 23, 24, 25]",Subtraction,"33, 31",paul had number0 pens and number1 books . after selling some books and pens in a garage sale he had number2 books and number3 pens left .,how many books did he sell in the garage sale ?
42,paul had number0 pens and number1 books . after selling some books and pens in a garage sale he had number2 books and number3 pens left . how many pens did he sell in the garage sale ?,42 143 113 19,- number0 number3,23.0,"[1, 2, 3, 4, 5, 6, 34, 35, 36, 11, 17, 19, 20, 21, 22, 23, 24]",Subtraction,"33, 12, 31",paul had number0 pens and number1 books . after selling some books and pens in a garage sale he had number2 books and number3 pens left .,how many pens did he sell in the garage sale ?
43,there were number0 roses in the vase . jessica cut number1 more roses from her flower garden and put them in the vase . how many roses are there in the vase now ?,10 8,+ number0 number1,18.0,"[32, 1, 2, 3, 4, 9, 10, 11, 12, 30, 31]",Addition,23,there were number0 roses in the vase . jessica cut number1 more roses from her flower garden and put them in the vase .,how many roses are there in the vase now ?
44,there were some roses in the vase . jessica cut number0 more roses from her flower garden and put them in the vase . there are now number1 roses in the vase . how many roses were there in the vase at the beginning ?,16 23,- number1 number0,7.0,"[1, 3, 4, 9, 10, 11, 12, 41, 42, 43, 26, 27, 28]",Subtraction,23,there were some roses in the vase . jessica cut number0 more roses from her flower garden and put them in the vase . there are now number1 roses in the vase .,how many roses were there in the vase at the beginning ?
45,there were number0 roses in the vase . jessica threw away number1 roses from the vase and cut some more new roses from her flower garden to put in the vase . there are now number2 roses in the vase . how many roses did she cut ?,2 4 23,- + number2 number1 number0,25.0,"[1, 2, 3, 35, 34, 36, 5, 9, 10, 11, 12, 44, 45, 46]",Subtraction,21,there were number0 roses in the vase . jessica threw away number1 roses from the vase and cut some more new roses from her flower garden to put in the vase . there are now number2 roses in the vase .,how many roses did she cut ?
46,there were number0 roses in the vase . jessica threw away number1 roses from the vase and cut some more new roses from her flower garden to put in the vase . there are now number2 roses in the vase . how many more roses did she cut than those she threw away ?,15 33 17,- number2 number0,2.0,"[1, 2, 3, 35, 34, 36, 6, 9, 10, 11, 12, 50, 51, 52]",Subtraction,"21, 11",there were number0 roses in the vase . jessica threw away number1 roses from the vase and cut some more new roses from her flower garden to put in the vase . there are now number2 roses in the vase .,how many more roses did she cut than those she threw away ?
47,there were number0 roses in the vase . jessica threw away number1 roses from the vase and cut some more new roses from her flower garden to put in the vase . there are now number2 roses in the vase . how many more roses did she throw away than those she cut from her garden ?,21 34 15,- number0 number2,6.0,"[1, 2, 3, 35, 34, 36, 6, 9, 10, 11, 12, 53, 54, 55]",Subtraction,"21, 11",there were number0 roses in the vase . jessica threw away number1 roses from the vase and cut some more new roses from her flower garden to put in the vase . there are now number2 roses in the vase .,how many more roses did she throw away than those she cut from her garden ?
48,there were number0 roses in the vase . jessica cut some more roses from her flower garden which had a total of number1 roses . there are now number2 roses in the vase . how many roses did she cut ?,7 59 20,- number2 number0,13.0,"[1, 2, 3, 5, 37, 38, 39, 21, 22, 23, 27, 28, 29]",Subtraction,33,there were number0 roses in the vase . jessica cut some more roses from her flower garden which had a total of number1 roses . there are now number2 roses in the vase .,how many roses did she cut ?
49,there were number0 roses in the vase . jessica cut some more roses from her flower garden which had a total of number1 roses . there are now number2 roses in the vase . how many roses are left in the garden ?,13 12 21,- number1 - number2 number0,4.0,"[1, 2, 3, 39, 40, 41, 21, 22, 23, 27, 28, 29]",Subtraction,"33, 11",there were number0 roses in the vase . jessica cut some more roses from her flower garden which had a total of number1 roses . there are now number2 roses in the vase .,how many roses are left in the garden ?
50,there were number0 roses and number1 orchids in the vase . jessica cut some more roses and orchids from her flower garden . there are now number2 roses and number3 orchids in the vase . how many roses did she cut ?,15 62 17 96,- number2 number0,2.0,"[1, 2, 3, 4, 5, 6, 38, 39, 40, 25, 26, 27, 28, 29, 30]",Subtraction,33,there were number0 roses and number1 orchids in the vase . jessica cut some more roses and orchids from her flower garden . there are now number2 roses and number3 orchids in the vase .,how many roses did she cut ?
51,there were number0 roses and number1 orchids in the vase . jessica cut some more roses and orchids from her flower garden . there are now number2 roses and number3 orchids in the vase . how many orchids did she cut ?,12 2 10 21,- number3 number1,19.0,"[1, 2, 3, 4, 5, 6, 38, 39, 40, 25, 26, 27, 28, 29, 30]",Subtraction,"33, 12",there were number0 roses and number1 orchids in the vase . jessica cut some more roses and orchids from her flower garden . there are now number2 roses and number3 orchids in the vase .,how many orchids did she cut ?
52,there were number0 roses and number1 orchids in the vase . jessica cut some more roses and orchids from her flower garden . there are now number2 roses and number3 orchids in the vase . how many more roses than orchids are there in the vase now ?,5 3 12 2,- number2 number3,10.0,"[1, 2, 3, 4, 5, 6, 7, 44, 45, 46, 25, 26, 27, 28, 29, 30]",Subtraction,"33, 11",there were number0 roses and number1 orchids in the vase . jessica cut some more roses and orchids from her flower garden . there are now number2 roses and number3 orchids in the vase .,how many more roses than orchids are there in the vase now ?
53,there were number0 roses and number1 orchids in the vase . jessica cut some more roses and orchids from her flower garden . there are now number2 roses and number3 orchids in the vase . how many more orchids than roses are there in the vase now ?,7 12 11 20,- number3 number2,9.0,"[1, 2, 3, 4, 5, 6, 7, 44, 45, 46, 25, 26, 27, 28, 29, 30]",Subtraction,"33, 13",there were number0 roses and number1 orchids in the vase . jessica cut some more roses and orchids from her flower garden . there are now number2 roses and number3 orchids in the vase .,how many more orchids than roses are there in the vase now ?
54,jessica cut some roses from her flower garden to put in her vase . there are now number0 roses in the vase . if there were number1 roses in the vase initially how many roses did she cut ?,19 3,- number0 number1,16.0,"[1, 2, 35, 36, 37, 10, 14, 16, 17, 18, 25, 26, 27]",Subtraction,31,jessica cut some roses from her flower garden to put in her vase . there are now number0 roses in the vase . if there were number1 roses in the vase initially,how many roses did she cut ?
55,there were number0 roses and number1 orchids in the vase . jessica cut some more roses and orchids from her flower garden . there are now number2 orchids and number3 roses in the vase . how many roses did she cut ?,13 84 91 14,- number3 number0,1.0,"[1, 2, 3, 4, 5, 6, 38, 39, 40, 25, 26, 27, 28, 29, 30]",Subtraction,"33, 31",there were number0 roses and number1 orchids in the vase . jessica cut some more roses and orchids from her flower garden . there are now number2 orchids and number3 roses in the vase .,how many roses did she cut ?
56,there were number0 roses and number1 orchids in the vase . jessica cut some more roses and orchids from her flower garden . there are now number2 orchids and number3 roses in the vase . how many orchids did she cut ?,16 3 7 13,- number2 number1,4.0,"[1, 2, 3, 4, 5, 6, 38, 39, 40, 25, 26, 27, 28, 29, 30]",Subtraction,"33, 12, 31",there were number0 roses and number1 orchids in the vase . jessica cut some more roses and orchids from her flower garden . there are now number2 orchids and number3 roses in the vase .,how many orchids did she cut ?
57,there were number0 roses and number1 orchids in the vase . jessica cut some more roses and orchids from her flower garden . there are now number2 orchids and number3 roses in the vase . how many more roses than orchids are there in the vase now ?,6 20 21 22,- number3 number2,1.0,"[1, 2, 3, 4, 5, 6, 7, 44, 45, 46, 25, 26, 27, 28, 29, 30]",Subtraction,"33, 11, 31",there were number0 roses and number1 orchids in the vase . jessica cut some more roses and orchids from her flower garden . there are now number2 orchids and number3 roses in the vase .,how many more roses than orchids are there in the vase now ?
58,there were number0 roses and number1 orchids in the vase . jessica cut some more roses and orchids from her flower garden . there are now number2 orchids and number3 roses in the vase . how many more orchids than roses are there in the vase now ?,9 6 13 3,- number2 number3,10.0,"[1, 2, 3, 4, 5, 6, 7, 44, 45, 46, 25, 26, 27, 28, 29, 30]",Subtraction,"33, 13, 31",there were number0 roses and number1 orchids in the vase . jessica cut some more roses and orchids from her flower garden . there are now number2 orchids and number3 roses in the vase .,how many more orchids than roses are there in the vase now ?
59,robin 's hair was number0 inches long . she cut off some inches of her hair . if her hair is now number1 inches long how much of her hair did she cut ?,17 13,- number0 number1,4.0,"[32, 1, 3, 4, 5, 21, 22, 23, 30, 31]",Subtraction,23,robin 's hair was number0 inches long . she cut off some inches of her hair . if her hair is now number1 inches long,how much of her hair did she cut ?
60,robin cut off number0 inches of her hair . if her hair is now number1 inches long how long was her hair before she cut ?,20 10,+ number0 number1,30.0,"[1, 2, 3, 4, 13, 14, 15, 22, 23, 24]",Addition,23,robin cut off number0 inches of her hair . if her hair is now number1 inches long,how long was her hair before she cut ?
61,robin 's hair was number0 inches long . she cut off number1 inches . then it again grew by number2 inches . how long is her hair now ?,16 11 12,+ - number0 number1 number2,17.0,"[1, 3, 4, 5, 10, 11, 12, 18, 19, 20, 25, 26, 27]",Addition,21,robin 's hair was number0 inches long . she cut off number1 inches . then it again grew by number2 inches .,how long is her hair now ?
62,robin 's hair was number0 inches long . if she grew number1 more inches how long is her hair now ?,19 18,+ number0 number1,37.0,"[2, 3, 4, 5, 10, 11, 12, 13, 17, 18, 19]",Addition,22,robin 's hair was number0 inches long . if she grew number1 more inches,how long is her hair now ?
63,robin cut off number0 inches of her hair . if her hair was number1 inches long initially how long is her hair now ?,13 14,- number1 number0,1.0,"[1, 2, 3, 4, 12, 13, 14, 20, 21, 22]",Subtraction,32,robin cut off number0 inches of her hair . if her hair was number1 inches long initially,how long is her hair now ?
64,robin 's hair was number0 inches long . it grew by number1 inches . then she cut off number2 inches . how long is her hair now ?,14 8 20,+ - number0 number2 number1,2.0,"[2, 3, 4, 5, 10, 11, 12, 17, 18, 19, 24, 25, 26]",Addition,"21, 32",robin 's hair was number0 inches long . it grew by number1 inches . then she cut off number2 inches .,how long is her hair now ?
65,danny has number0 bottle caps in his collection . he found number1 bottle caps at the park . how many bottle caps does he have now ?,12 53,+ number0 number1,65.0,"[1, 2, 3, 4, 6, 10, 11, 12, 13, 23, 24, 25]",Addition,23,danny has number0 bottle caps in his collection . he found number1 bottle caps at the park .,how many bottle caps does he have now ?
66,danny has number0 bottle caps in his collection . he found some more bottle caps at the park . if he has number1 bottle caps now how many bottle caps did he find at the park ?,21 53,- number1 number0,32.0,"[1, 2, 3, 4, 33, 34, 35, 8, 13, 21, 22, 23, 24]",Subtraction,23,danny has number0 bottle caps in his collection . he found some more bottle caps at the park . if he has number1 bottle caps now,how many bottle caps did he find at the park ?
67,danny collects bottle caps . he found number0 bottle caps at the park while he threw away number1 old ones . now he has number2 bottle caps in his collection . how many bottle caps did danny have at first ?,63 51 33,- + number2 number1 number0,21.0,"[1, 2, 37, 6, 7, 8, 9, 10, 38, 39, 13, 16, 17, 18, 19, 23, 24, 25, 26]",Subtraction,21,danny collects bottle caps . he found number0 bottle caps at the park while he threw away number1 old ones . now he has number2 bottle caps in his collection .,how many bottle caps did danny have at first ?
68,danny collects bottle caps . he found number0 bottle caps at the park while he threw away number1 old ones . now he has number2 bottle caps in his collection . how many more bottle caps did danny find at the park than those he threw away ?,36 35 22,- number0 number1,1.0,"[1, 2, 6, 7, 8, 9, 10, 44, 13, 45, 46, 16, 17, 18, 19, 23, 24, 25, 26]",Subtraction,"21, 11",danny collects bottle caps . he found number0 bottle caps at the park while he threw away number1 old ones . now he has number2 bottle caps in his collection .,how many more bottle caps did danny find at the park than those he threw away ?
69,danny collects bottle caps . he found number0 bottle caps at the park while he threw away number1 old ones . now he has number2 bottle caps in his collection . how many more bottle caps did danny throw away than those he found at the park ?,30 63 42,- number1 number0,33.0,"[1, 2, 6, 7, 8, 9, 10, 44, 13, 45, 46, 16, 17, 18, 19, 23, 24, 25, 26]",Subtraction,"21, 11",danny collects bottle caps . he found number0 bottle caps at the park while he threw away number1 old ones . now he has number2 bottle caps in his collection .,how many more bottle caps did danny throw away than those he found at the park ?
70,danny collects bottle caps and wrappers . he found number0 bottle caps and number1 wrappers at the park . now he has number2 bottle caps and number3 wrappers in his collection . how many bottle caps did danny have at first ?,22 8 28 63,- number2 number0,6.0,"[1, 2, 6, 38, 8, 9, 10, 11, 12, 13, 14, 39, 40, 21, 22, 23, 24, 25, 26, 27]",Subtraction,33,danny collects bottle caps and wrappers . he found number0 bottle caps and number1 wrappers at the park . now he has number2 bottle caps and number3 wrappers in his collection .,how many bottle caps did danny have at first ?
71,danny collects bottle caps and wrappers . he found number0 bottle caps and number1 wrappers at the park . now he has number2 bottle caps and number3 wrappers in his collection . how many wrappers did danny have at first ?,22 30 17 57,- number3 number1,27.0,"[1, 2, 5, 37, 38, 8, 9, 10, 11, 12, 13, 14, 39, 21, 22, 23, 24, 25, 26, 27]",Subtraction,"33, 12",danny collects bottle caps and wrappers . he found number0 bottle caps and number1 wrappers at the park . now he has number2 bottle caps and number3 wrappers in his collection .,how many wrappers did danny have at first ?
72,danny collects bottle caps and wrappers . he found number0 bottle caps and number1 wrappers at the park . now he has number2 bottle caps and number3 wrappers in his collection . how many more bottle caps than wrappers did danny find at the park ?,30 14 7 86,- number0 number1,16.0,"[1, 2, 8, 9, 10, 11, 12, 13, 14, 42, 43, 44, 21, 22, 23, 24, 25, 26, 27]",Subtraction,"33, 11",danny collects bottle caps and wrappers . he found number0 bottle caps and number1 wrappers at the park . now he has number2 bottle caps and number3 wrappers in his collection .,how many more bottle caps than wrappers did danny find at the park ?
73,danny collects bottle caps and wrappers . he found number0 bottle caps and number1 wrappers at the park . now he has number2 bottle caps and number3 wrappers in his collection . how many more wrappers than bottle caps did danny find at the park ?,11 28 68 51,- number1 number0,17.0,"[1, 2, 8, 9, 10, 11, 12, 13, 14, 42, 43, 44, 21, 22, 23, 24, 25, 26, 27]",Subtraction,"33, 13",danny collects bottle caps and wrappers . he found number0 bottle caps and number1 wrappers at the park . now he has number2 bottle caps and number3 wrappers in his collection .,how many more wrappers than bottle caps did danny find at the park ?
