,Question,Numbers,Equation,Answer,group_nums,Type,Variation Type,Body,Ques,Grade,Ques_Statement
13,ed had number0 more marbles than doug . ed lost number1 of his marbles at the playground . if ed had number2 marbles how many more marbles did ed have than doug then ?,30 21 91,- number0 number1,9.0,"[32, 1, 2, 3, 4, 6, 7, 9, 10, 11, 20, 21, 22, 30, 31]",Subtraction,"22, 33",ed had number0 more marbles than doug . ed lost number1 of his marbles at the playground . if ed had number2 marbles,how many more marbles did ed have than doug then ?,,
14,ed had number0 more marbles than doug . ed lost number1 of his marbles at the playground . if ed had number2 marbles how many marbles does doug have now ?,12 20 17,- number2 number0,5.0,"[1, 2, 3, 4, 6, 9, 10, 11, 20, 21, 22, 27, 28, 29]",Subtraction,"22, 33, 11",ed had number0 more marbles than doug . ed lost number1 of his marbles at the playground . if ed had number2 marbles,how many marbles does doug have now ?,,
15,because of the decision sofia asked the students to suggest specific types of food . if number0 students suggested adding mashed potatoes while number1 suggested adding bacon to the menu how many more students suggested mashed potatoes than those that suggested bacon ?,408 42,- number0 number1,366.0,"[32, 34, 5, 39, 40, 41, 15, 16, 17, 18, 22, 23, 24, 31]",Subtraction,11,because of the decision sofia asked the students to suggest specific types of food . if number0 students suggested adding mashed potatoes while number1 suggested adding bacon to the menu,how many more students suggested mashed potatoes than those that suggested bacon ?,,
16,because of the decision sofia asked the students to suggest specific types of food . if number0 students suggested adding mashed potatoes while number1 suggested adding bacon to the menu how many more students suggested bacon than those that suggested mashed potatoes ?,479 489,- number1 number0,10.0,"[32, 34, 5, 39, 40, 41, 15, 16, 17, 18, 22, 23, 24, 31]",Subtraction,11,because of the decision sofia asked the students to suggest specific types of food . if number0 students suggested adding mashed potatoes while number1 suggested adding bacon to the menu,how many more students suggested bacon than those that suggested mashed potatoes ?,,
17,because of the decision sofia asked number0 students to suggest specific types of food . number1 students suggested adding mashed potatoes while others suggested adding bacon to the menu . how many students suggested bacon ?,310 185,- number0 number1,125.0,"[32, 1, 33, 3, 34, 5, 6, 7, 15, 16, 17]",Subtraction,23,because of the decision sofia asked number0 students to suggest specific types of food . number1 students suggested adding mashed potatoes while others suggested adding bacon to the menu .,how many students suggested bacon ?,,
18,because of the decision sofia asked number0 students to suggest specific types of food . number1 students suggested adding bacon while others suggested adding mashed potatoes to the menu . how many students suggested mashed potatoes ?,288 264,- number0 number1,24.0,"[1, 33, 3, 34, 5, 6, 7, 35, 15, 16, 17]",Subtraction,23,because of the decision sofia asked number0 students to suggest specific types of food . number1 students suggested adding bacon while others suggested adding mashed potatoes to the menu .,how many students suggested mashed potatoes ?,,
19,because of the decision sofia asked the students to suggest specific types of food . number0 students suggested adding mashed potatoes while others suggested adding bacon to the menu . if number1 more students suggested adding mashed potatoes than those that suggested bacon how many students suggested bacon ?,457 63,- number0 number1,394.0,"[32, 33, 2, 4, 5, 45, 14, 15, 16, 17, 46, 47, 30, 31]",Subtraction,"11, 23",because of the decision sofia asked the students to suggest specific types of food . number0 students suggested adding mashed potatoes while others suggested adding bacon to the menu . if number1 more students suggested adding mashed potatoes than those that suggested bacon,how many students suggested bacon ?,,
20,because of the decision sofia asked the students to suggest specific types of food . number0 students suggested adding mashed potatoes while others suggested adding bacon to the menu . if number1 more students suggested adding bacon than those that suggested mashed potatoes how many students suggested bacon ?,182 166,+ number0 number1,348.0,"[32, 33, 34, 5, 44, 45, 46, 15, 16, 17, 47, 30, 31]",Addition,"11, 23",because of the decision sofia asked the students to suggest specific types of food . number0 students suggested adding mashed potatoes while others suggested adding bacon to the menu . if number1 more students suggested adding bacon than those that suggested mashed potatoes,how many students suggested bacon ?,,
21,because of the decision sofia asked the students to suggest specific types of food . if number0 students suggested adding mashed potatoes number1 suggested adding bacon to the menu and number2 suggested adding tomatoes how many students participated in the suggestion of new food items ?,324 374 128,+ + number0 number1 number2,826.0,"[32, 33, 35, 5, 37, 42, 43, 44, 15, 16, 17, 18, 19, 20, 21, 22, 23, 29, 30, 31]",Addition,21,because of the decision sofia asked the students to suggest specific types of food . if number0 students suggested adding mashed potatoes number1 suggested adding bacon to the menu and number2 suggested adding tomatoes,how many students participated in the suggestion of new food items ?,,
22,because of the decision sofia asked the students to suggest specific types of food . if number0 students suggested adding mashed potatoes number1 suggested adding bacon to the menu and number2 suggested adding tomatoes how many more students suggested mashed potatoes than those that suggested bacon ?,257 120 97,- number0 number1,137.0,"[5, 15, 16, 17, 18, 19, 20, 21, 22, 23, 29, 30, 31, 32, 33, 35, 36, 38, 39, 43, 44, 45]",Subtraction,"21, 11",because of the decision sofia asked the students to suggest specific types of food . if number0 students suggested adding mashed potatoes number1 suggested adding bacon to the menu and number2 suggested adding tomatoes,how many more students suggested mashed potatoes than those that suggested bacon ?,,
23,because of the decision sofia asked the students to suggest specific types of food . if number0 students suggested adding mashed potatoes number1 suggested adding bacon to the menu and number2 suggested adding tomatoes how many more students suggested mashed potatoes than those that suggested tomatoes ?,144 467 79,- number0 number2,65.0,"[5, 15, 16, 17, 18, 19, 20, 21, 22, 23, 29, 30, 31, 32, 33, 35, 36, 38, 39, 43, 44, 45]",Subtraction,"21, 11",because of the decision sofia asked the students to suggest specific types of food . if number0 students suggested adding mashed potatoes number1 suggested adding bacon to the menu and number2 suggested adding tomatoes,how many more students suggested mashed potatoes than those that suggested tomatoes ?,,
24,because of the decision sofia asked the students to suggest specific types of food . if number0 students suggested adding mashed potatoes number1 suggested adding bacon to the menu and number2 suggested adding tomatoes how many more students suggested bacon than those that suggested tomatoes ?,228 337 23,- number1 number2,314.0,"[5, 15, 16, 17, 18, 19, 20, 21, 22, 23, 29, 30, 31, 32, 33, 35, 36, 38, 42, 43, 44]",Subtraction,"21, 11",because of the decision sofia asked the students to suggest specific types of food . if number0 students suggested adding mashed potatoes number1 suggested adding bacon to the menu and number2 suggested adding tomatoes,how many more students suggested bacon than those that suggested tomatoes ?,,
25,because of the decision sofia asked the students to suggest specific types of food from a total of number0 choices . if number1 students suggested adding mashed potatoes number2 suggested adding bacon to the menu and the rest did not participate how many students participated in the suggestion of new food items ?,66 450 38,+ number1 number2,488.0,"[51, 5, 42, 44, 50, 17, 18, 19, 49, 21, 22, 23, 24, 25, 26, 27, 28, 29]",Addition,33,because of the decision sofia asked the students to suggest specific types of food from a total of number0 choices . if number1 students suggested adding mashed potatoes number2 suggested adding bacon to the menu and the rest did not participate,how many students participated in the suggestion of new food items ?,,
26,because of the decision sofia asked the students to suggest specific types of food . if number0 students suggested adding mashed potatoes as well as bacon while number1 suggested adding only bacon to the menu how many students suggested adding bacon ?,218 351,+ number0 number1,569.0,"[36, 5, 38, 39, 40, 15, 16, 17, 18, 26, 27, 28]",Addition,22,because of the decision sofia asked the students to suggest specific types of food . if number0 students suggested adding mashed potatoes as well as bacon while number1 suggested adding only bacon to the menu,how many students suggested adding bacon ?,,
27,because of the decision sofia asked the students to suggest specific types of food . if number0 students suggested adding bacon number1 suggested adding mashed potatoes to the menu and number2 suggested adding tomatoes how many more students suggested mashed potatoes than those that suggested bacon ?,269 330 76,- number1 number0,61.0,"[5, 15, 16, 17, 18, 19, 20, 21, 22, 23, 29, 30, 31, 32, 33, 35, 36, 38, 43, 44, 45]",Subtraction,"21, 11, 31",because of the decision sofia asked the students to suggest specific types of food . if number0 students suggested adding bacon number1 suggested adding mashed potatoes to the menu and number2 suggested adding tomatoes,how many more students suggested mashed potatoes than those that suggested bacon ?,,
28,in a school there are number0 girls and number1 boys . how many more girls than boys does the school have ?,569 236,- number0 number1,333.0,"[1, 2, 4, 5, 6, 7, 8, 9, 18, 19, 20]",Subtraction,12,in a school there are number0 girls and number1 boys .,how many more girls than boys does the school have ?,,
29,in a school there are number0 girls and number1 boys . how many more boys than girls does the school have ?,34 841,- number1 number0,807.0,"[1, 2, 4, 5, 6, 7, 8, 9, 18, 19, 20]",Subtraction,12,in a school there are number0 girls and number1 boys .,how many more boys than girls does the school have ?,,
30,a school has number0 pupils . there are number1 girls and the rest are boys . how many boys are there in that school ?,485 232,- number0 number1,253.0,"[1, 2, 3, 4, 7, 8, 9, 21, 22, 23]",Subtraction,23,a school has number0 pupils . there are number1 girls and the rest are boys .,how many boys are there in that school ?,,
31,in a school there are number0 girls and the rest are boys . if there are number1 more girls than boys how many boys are there in that school ?,697 228,- number0 number1,469.0,"[2, 4, 5, 6, 15, 16, 17, 18, 26, 27, 28]",Subtraction,"12, 23",in a school there are number0 girls and the rest are boys . if there are number1 more girls than boys,how many boys are there in that school ?,,
32,in a school there are number0 girls and the rest are boys . if there are number1 more boys than girls how many boys are there in that school ?,635 510,+ number0 number1,1145.0,"[2, 4, 5, 6, 9, 12, 15, 16, 17, 18, 26, 27, 28]",Addition,"12, 23",in a school there are number0 girls and the rest are boys . if there are number1 more boys than girls,how many boys are there in that school ?,,
33,in a school there are number0 girls and the rest are boys . if there are number1 more girls than boys how many pupils are there in that school ?,868 281,- + number0 number0 number1,1455.0,"[2, 4, 5, 6, 15, 16, 17, 18, 26, 27, 28]",Subtraction,"12, 23, 11",in a school there are number0 girls and the rest are boys . if there are number1 more girls than boys,how many pupils are there in that school ?,,
34,in a school there are number0 girls and the rest are boys . if there are number1 more boys than girls how many pupils are there in that school ?,700 142,+ + number0 number0 number1,1542.0,"[2, 4, 5, 6, 15, 16, 17, 18, 26, 27, 28]",Addition,"12, 23, 11",in a school there are number0 girls and the rest are boys . if there are number1 more boys than girls,how many pupils are there in that school ?,,
35,in a school there are number0 girls and number1 boys . number2 more girls joined the school . how many pupils are there in the school now ?,706 222 418,+ + number0 number1 number2,1346.0,"[4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 24, 25, 26]",Addition,21,in a school there are number0 girls and number1 boys . number2 more girls joined the school .,how many pupils are there in the school now ?,,
36,in a school there are number0 girls and number1 boys . number2 more girls joined the school . how many girls are there in the school now ?,902 811 44,+ number0 number2,946.0,"[1, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 24, 25, 26]",Addition,"21, 12",in a school there are number0 girls and number1 boys . number2 more girls joined the school .,how many girls are there in the school now ?,,
37,in a school there are number0 girls and number1 boys . number2 more girls joined the school . how many more girls than boys does the school have ?,632 410 465,- + number0 number2 number1,687.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 25, 26, 27]",Subtraction,"21, 12",in a school there are number0 girls and number1 boys . number2 more girls joined the school .,how many more girls than boys does the school have ?,,
38,in a school there are number0 girls and number1 boys . number2 more girls and number3 more boys joined the school . how many girls are there in the school now ?,732 761 682 8,+ number0 number2,1414.0,"[1, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 28, 29, 30]",Addition,"21, 12",in a school there are number0 girls and number1 boys . number2 more girls and number3 more boys joined the school .,how many girls are there in the school now ?,,
39,in a school there are number0 girls and number1 boys . number2 more girls and number3 more boys joined the school . how many boys are there in the school now ?,135 214 496 910,+ number1 number3,1124.0,"[1, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 28, 29, 30]",Addition,"21, 12",in a school there are number0 girls and number1 boys . number2 more girls and number3 more boys joined the school .,how many boys are there in the school now ?,,
40,in a school there are number0 girls and number1 boys . there are also number2 teachers how many pupils are there in that school ?,308 318 36,+ number0 number1,626.0,"[1, 4, 5, 6, 7, 8, 9, 13, 14, 15, 21, 22, 23]",Addition,33,in a school there are number0 girls and number1 boys . there are also number2 teachers,how many pupils are there in that school ?,,
41,in a school there are number0 girls and number1 boys . there are also number2 teachers how many people are there in that school ?,315 309 772,+ + number0 number1 number2,1396.0,"[1, 4, 5, 6, 7, 8, 9, 13, 14, 15, 21, 22, 23]",Addition,"33, 12",in a school there are number0 girls and number1 boys . there are also number2 teachers,how many people are there in that school ?,,
42,in a school there are there are number0 more girls than boys . if there are number1 girls how many boys are there in that school ?,402 739,- number1 number0,337.0,"[2, 6, 7, 8, 9, 15, 16, 17, 23, 24, 25]",Subtraction,"12, 23, 32",in a school there are there are number0 more girls than boys . if there are number1 girls,how many boys are there in that school ?,,
43,in a school there are there are number0 more girls than boys . if there are number1 girls how many pupils are there in that school ?,458 692,- + number1 number1 number0,926.0,"[2, 6, 7, 8, 9, 15, 16, 17, 23, 24, 25]",Subtraction,"12, 23, 11, 32",in a school there are there are number0 more girls than boys . if there are number1 girls,how many pupils are there in that school ?,,
44,in a school there are number0 boys and number1 girls . number2 more girls joined the school . how many more girls than boys does the school have ?,362 257 403,- + number1 number2 number0,298.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 25, 26, 27]",Subtraction,"21, 12, 31",in a school there are number0 boys and number1 girls . number2 more girls joined the school .,how many more girls than boys does the school have ?,,
45,edward had $ number0 . he spent $ number1 . how much money does edward have now ?,18 16,- number0 number1,2.0,"[1, 2, 3, 6, 7, 8, 14, 15, 16]",Subtraction,23,edward had $ number0 . he spent $ number1 .,how much money does edward have now ?,,
46,edward had $ number0 . he spent some money . now he has $ number1 . how much money did edward spend ?,13 3,- number0 number1,10.0,"[1, 2, 3, 13, 14, 19, 20, 21]",Subtraction,23,edward had $ number0 . he spent some money . now he has $ number1 .,how much money did edward spend ?,,
47,edward spent $ number0 . then he spent $ number1 more . now he has $ number2 . how much did edward have before he spent his money ?,9 8 17,+ + number0 number1 number2,34.0,"[1, 2, 3, 7, 8, 9, 10, 15, 16, 25, 26, 27]",Addition,21,edward spent $ number0 . then he spent $ number1 more . now he has $ number2 .,how much did edward have before he spent his money ?,,
48,edward spent $ number0 to buy number1 books each book costing him the same amount of money . now he has $ number2 . how much did edward have before he spent his money ?,16 92 6,+ number0 number2,22.0,"[32, 1, 2, 3, 4, 5, 6, 7, 8, 33, 21, 22, 31]",Addition,33,edward spent $ number0 to buy number1 books each book costing him the same amount of money . now he has $ number2 .,how much did edward have before he spent his money ?,,
49,edward spent $ number0 to buy number1 books each book costing him the same amount of money . now he has $ number2 . how much did each book cost ?,6 2 12,/ number0 number1,3.0,"[1, 2, 3, 4, 5, 6, 7, 8, 21, 22, 27, 28, 29]",Common-Division,"33, 13",edward spent $ number0 to buy number1 books each book costing him the same amount of money . now he has $ number2 .,how much did each book cost ?,,
50,edward spent $ number0 to buy books and $ number1 to buy pens . now he has $ number2 . how much did edward have before he spent his money ?,6 16 19,+ + number0 number1 number2,41.0,"[1, 2, 3, 4, 8, 9, 10, 17, 18, 27, 28, 29]",Addition,22,edward spent $ number0 to buy books and $ number1 to buy pens . now he has $ number2 .,how much did edward have before he spent his money ?,,
51,edward spent $ number0 to buy books and $ number1 to buy pens . now he has $ number2 . how much did edward spend on books and pens ?,4 3 12,+ number0 number1,7.0,"[1, 2, 3, 4, 8, 9, 10, 17, 18, 26, 27, 28]",Addition,22,edward spent $ number0 to buy books and $ number1 to buy pens . now he has $ number2 .,how much did edward spend on books and pens ?,,
52,edward spent $ number0 to buy books and $ number1 to buy pens . now he has $ number2 . how much more did edward spend on books than pens ?,16 8 19,- number0 number1,8.0,"[1, 2, 3, 4, 8, 9, 10, 17, 18, 27, 28, 29]",Subtraction,"22, 11",edward spent $ number0 to buy books and $ number1 to buy pens . now he has $ number2 .,how much more did edward spend on books than pens ?,,
53,edward spent $ number0 . then he received $ number1 from his friend . now he has $ number2 . how much did edward have before he spent his money ?,17 10 7,+ - number2 number1 number0,14.0,"[1, 2, 3, 7, 8, 9, 10, 17, 18, 27, 28, 29]",Addition,21,edward spent $ number0 . then he received $ number1 from his friend . now he has $ number2 .,how much did edward have before he spent his money ?,,
54,zachary did number0 push-ups in gym class today . david did number1 more push-ups than zachary . how many push-ups did zachary and david do altogether ?,44 58,+ + number0 number0 number1,146.0,"[1, 2, 3, 7, 10, 11, 12, 13, 23, 24, 25]",Addition,11,zachary did number0 push-ups in gym class today . david did number1 more push-ups than zachary .,how many push-ups did zachary and david do altogether ?,,
55,zachary did number0 push-ups and david did number1 push-ups in gym class today . how many more push-ups did zachary do than david ?,51 44,- number0 number1,7.0,"[1, 2, 3, 6, 7, 8, 20, 21, 22]",Subtraction,23,zachary did number0 push-ups and david did number1 push-ups in gym class today .,how many more push-ups did zachary do than david ?,,
56,david did number0 push-ups in gym class today . david did number1 more push-ups than zachary . how many push-ups did zachary do ?,44 9,- number0 number1,35.0,"[1, 2, 3, 5, 10, 11, 12, 13, 20, 21, 22]",Subtraction,22,david did number0 push-ups in gym class today . david did number1 more push-ups than zachary .,how many push-ups did zachary do ?,,
57,david did number0 push-ups in gym class today . david did number1 more push-ups than zachary . how many push-ups did zachary and david do altogether ?,51 49,- + number0 number0 number1,53.0,"[1, 2, 3, 7, 10, 11, 12, 13, 23, 24, 25]",Subtraction,22,david did number0 push-ups in gym class today . david did number1 more push-ups than zachary .,how many push-ups did zachary and david do altogether ?,,
58,zachary did number0 push-ups and number1 crunches in gym class today . david did number2 more push-ups but number3 less crunches than zachary . how many push-ups did david do ?,59 44 19 27,+ number0 number2,78.0,"[1, 2, 3, 4, 5, 6, 7, 13, 14, 15, 16, 17, 18, 19, 20, 27, 28, 29]",Addition,33,zachary did number0 push-ups and number1 crunches in gym class today . david did number2 more push-ups but number3 less crunches than zachary .,how many push-ups did david do ?,,
59,zachary did number0 push-ups and number1 crunches in gym class today . david did number2 more push-ups but number3 less crunches than zachary . how many crunches did david do ?,44 17 29 13,- number1 number3,4.0,"[1, 2, 3, 4, 5, 6, 7, 13, 14, 15, 16, 17, 18, 19, 20, 27, 28, 29]",Subtraction,"33, 12",zachary did number0 push-ups and number1 crunches in gym class today . david did number2 more push-ups but number3 less crunches than zachary .,how many crunches did david do ?,,
60,zachary did number0 push-ups and number1 crunches in gym class today . david did number2 more push-ups but number3 less crunches than zachary . how many push-ups and crunches did zachary do ?,53 14 17 10,+ number0 number1,67.0,"[1, 2, 3, 4, 5, 6, 7, 13, 14, 15, 16, 17, 18, 19, 20, 29, 30, 31]",Addition,"33, 13",zachary did number0 push-ups and number1 crunches in gym class today . david did number2 more push-ups but number3 less crunches than zachary .,how many push-ups and crunches did zachary do ?,,
61,zachary did number0 push-ups and number1 crunches in gym class today . david did number2 more push-ups but number3 less crunches than zachary . how many more push-ups than crunches did zachary do ?,35 3 58 87,- number0 number1,32.0,"[32, 1, 2, 3, 4, 5, 6, 7, 8, 13, 14, 15, 16, 17, 18, 19, 20, 30, 31]",Subtraction,"33, 11",zachary did number0 push-ups and number1 crunches in gym class today . david did number2 more push-ups but number3 less crunches than zachary .,how many more push-ups than crunches did zachary do ?,,
62,zachary did number0 push-ups and number1 crunches in gym class today . david did number2 more push-ups but number3 less crunches than zachary . how many more crunches than push-ups did zachary do ?,46 58 38 62,- number1 number0,12.0,"[32, 1, 2, 3, 4, 5, 6, 7, 8, 13, 14, 15, 16, 17, 18, 19, 20, 30, 31]",Subtraction,"33, 13",zachary did number0 push-ups and number1 crunches in gym class today . david did number2 more push-ups but number3 less crunches than zachary .,how many more crunches than push-ups did zachary do ?,,
63,zachary did number0 push-ups in gym class today . david did number1 more push-ups than zachary . john did number2 push-ups less than david . how many push-ups did david do ?,19 39 13,+ number0 number1,58.0,"[1, 2, 3, 5, 10, 11, 12, 13, 18, 19, 20, 28, 29, 30]",Addition,33,zachary did number0 push-ups in gym class today . david did number1 more push-ups than zachary . john did number2 push-ups less than david .,how many push-ups did david do ?,,
64,zachary did number0 push-ups in gym class today . david did number1 more push-ups than zachary . john did number2 push-ups less than david . how many push-ups did john do ?,51 22 4,- + number0 number1 number2,69.0,"[1, 2, 3, 5, 10, 11, 12, 13, 18, 19, 20, 28, 29, 30]",Subtraction,"33, 11",zachary did number0 push-ups in gym class today . david did number1 more push-ups than zachary . john did number2 push-ups less than david .,how many push-ups did john do ?,,
65,zachary did number0 push-ups in gym class today . david did number1 more push-ups than zachary . john did number2 push-ups less than david . how many more push-ups did zachary do than john ?,15 39 9,- number1 number2,30.0,"[32, 1, 2, 3, 33, 6, 10, 11, 12, 13, 18, 19, 20, 31]",Subtraction,"33, 11",zachary did number0 push-ups in gym class today . david did number1 more push-ups than zachary . john did number2 push-ups less than david .,how many more push-ups did zachary do than john ?,,
66,david did number0 more push-ups than zachary in gym class today . if david did number1 push-ups how many push-ups did zachary do ?,30 37,- number1 number0,7.0,"[1, 2, 3, 4, 6, 10, 14, 15, 16, 20, 21, 22]",Subtraction,"22, 32",david did number0 more push-ups than zachary in gym class today . if david did number1 push-ups,how many push-ups did zachary do ?,,
67,david did number0 more push-ups than zachary in gym class today . if david did number1 push-ups how many push-ups did zachary and david do altogether ?,56 38,- + number1 number1 number0,20.0,"[1, 2, 3, 4, 6, 12, 14, 15, 16, 23, 24, 25]",Subtraction,"22, 32",david did number0 more push-ups than zachary in gym class today . if david did number1 push-ups,how many push-ups did zachary and david do altogether ?,,
68,david did number0 more push-ups but number1 less crunches than zachary in gym class today . if zachary did number2 push-ups and number3 crunches how many crunches did david do ?,40 17 34 62,- number3 number1,45.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 13, 18, 19, 20, 21, 22, 23, 27, 28, 29]",Subtraction,"33, 12, 32",david did number0 more push-ups but number1 less crunches than zachary in gym class today . if zachary did number2 push-ups and number3 crunches,how many crunches did david do ?,,
69,david did number0 more push-ups but number1 less crunches than zachary in gym class today . if zachary did number2 push-ups and number3 crunches how many more push-ups than crunches did zachary do ?,36 33 58 33,- number2 number1,25.0,"[32, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 16, 18, 19, 20, 21, 22, 23, 30, 31]",Subtraction,"33, 11, 32",david did number0 more push-ups but number1 less crunches than zachary in gym class today . if zachary did number2 push-ups and number3 crunches,how many more push-ups than crunches did zachary do ?,,
70,david did number0 more push-ups but number1 less crunches than zachary in gym class today . if zachary did number2 push-ups and number3 crunches how many more crunches than push-ups did zachary do ?,27 7 5 17,- number3 number2,12.0,"[32, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 16, 18, 19, 20, 21, 22, 23, 30, 31]",Subtraction,"33, 13, 32",david did number0 more push-ups but number1 less crunches than zachary in gym class today . if zachary did number2 push-ups and number3 crunches,how many more crunches than push-ups did zachary do ?,,
71,rachel had to complete number0 pages of math homework and number1 pages of reading homework . how many more pages of math homework than reading homework did she have ?,5 2,- number0 number1,3.0,"[1, 2, 3, 4, 5, 9, 10, 11, 12, 26, 27, 28]",Subtraction,12,rachel had to complete number0 pages of math homework and number1 pages of reading homework .,how many more pages of math homework than reading homework did she have ?,,
72,rachel had to complete number0 pages of math homework and number1 pages of reading homework . how many more pages of reading homework than math homework did she have ?,3 4,- number1 number0,1.0,"[1, 2, 3, 4, 5, 9, 10, 11, 12, 26, 27, 28]",Subtraction,12,rachel had to complete number0 pages of math homework and number1 pages of reading homework .,how many more pages of reading homework than math homework did she have ?,,
